"nodegoat ID",Identifier,Sort_order,"[AnimationClock] Location Reference","[AnimationClock] Date Start","[Location] Geometry"
ngMT7c889MzM3MzA1MF62VTRQNFBcUzdBM8w3QTA,1.1.1,1,"sail Sounion to Piraeus",165-07-01,"{""type"": ""LineString"", ""coordinates"": [[24.09128309951706, 37.62286473797364], [24.010578478245577, 37.64900995736568], [23.95860484961003, 37.660148389501], [23.92192567457616, 37.667886893826434], [23.766019019846965, 37.79167783865617], [23.619394622136213, 37.92863707673138], [23.61836101632656, 37.93804875610131], [23.632650725432, 37.94069427986004], [23.64209804167382, 37.944617620401615]]}"
ngNU7Z980PEN9NaJ2NW73WUSRNGCdVaACPFx9RUJ,1.1.2,2,Peiraieus/Piraeus,02-07-165,"{""type"": ""Point"", ""coordinates"": [23.644609, 37.937222]}"
ngOV8A081PbO0ObG3OX82XVHSOnDeWbBDP0y0SVG,1.1.3,3,Peiraieus/Piraeus,03-07-165,"{""type"": ""Point"", ""coordinates"": [23.644609, 37.937222]}"
ngPW8f182PGP3PcT4PI94YWITPoEfXcgEPHz3TWT,1.1.4,4,Phaleron,04-07-165,"{""type"": ""Point"", ""coordinates"": [23.706200000000003, 37.9373]}"
ngQX8g283QHQ7QdM5SZ07ZXFUSJFgYdhFQIa7UXM,1.1.5,5,"Kolias cape (Attica)",05-07-165,"{""type"": ""Point"", ""coordinates"": [23.717, 37.8945]}"
ngRY8D384TYR8ReJ6SA14AYAVRqGhZeEGTZb8VYJ,1.2.1,6,"tomb of Antiope, Athens",06-07-165,"{""type"": ""Point"", ""coordinates"": [23.727, 37.968]}"
ngSZ8q485UJSeSfA7S52dBZjWSrHiAfrHUKceWZA,1.2.2,7,"Cenotaph of Euripides, Athens",07-07-165,"{""type"": ""Point"", ""coordinates"": [23.725000000000005, 37.975]}"
ngTA8r586UgTfTgP8Us36CAIXUMIjBgsIU5dfXAP,1.2.3,8,"Cenotaph of Euripides, Athens",08-07-165,"{""type"": ""Point"", ""coordinates"": [23.725000000000005, 37.975]}"
ngUB8M687ULUeUhM9VN46DBVYVNI0C7fJUCeeYBI,1.2.4,9,"Pompeion (Athens)",09-07-165,"{""type"": ""Point"", ""coordinates"": [23.7188, 37.9782]}"
ngVC8t788XCVgVip0W85iECAZWOKlDiuKXDfgZCp,1.2.5,10,"Poulytion's House, Athens",10-07-165,"{""type"": ""Point"", ""coordinates"": [23.718611, 37.978333]}"
ngWD8u889WjW3WjI1Wv6iFDrAXPLmEjvLW8g3ADI,1.2.6,11,"Poulytion's House, Athens",11-07-165,"{""type"": ""Point"", ""coordinates"": [23.718611, 37.978333]}"
