BookID,Place,Links,Lat,Lon,Type,Label,Tags,Comments
1.1.1,Ἀθηναίοις,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","proxy|t - pote|t - Persian War",NULL
1.1.1,Ἀθηναίοις,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","proxy|t - Macedonian War",NULL
1.1.1,Αἰγαῖον,http://pleiades.stoa.org/places/560221,37.42245628773585,25.8829628235849,water-open,"Aegaeum Mare",physical|pelagos|synoptic,NULL
1.1.1,Αἰγυπτίαις,http://pleiades.stoa.org/places/981503,19.211408766666665,30.567329633333333,region,"Ancient Egypt (region)","proxy|t - Macedonian War",NULL
1.1.1,ἄκραν,http://pleiades.stoa.org/places/580108,37.625,24.125,cape,"Sounion Pr.","physical|akra|Paus|f - narratee",NULL
1.1.1,"ἀργύρου μέταλλα",http://pleiades.stoa.org/places/963101137,37.697557,24.032676,mine,"Mine of Laureion","built|metallon|t - pote|t - Persian War",NULL
1.1.1,Ἀττικῆς,http://pleiades.stoa.org/places/579888,38.051998833333336,23.818991099999998,region,Attica,regional|ge|synoptic,NULL
1.1.1,αὐτῇ,http://pleiades.stoa.org/places/580060,37.625,23.875,island,"Patroklou Charax (island)","physical|island|t - Macedonian War|b - Patroklos",NULL
1.1.1,Ἑλληνικῆς,http://pleiades.stoa.org/places/1001896,37.5,22.5,province,Hellas,regional|epeiros|synoptic,1.1.1
1.1.1,ἔνθα,http://pleiades.stoa.org/places/580010,37.712252,24.039891,region,Laureion,"built|deme|lx: entha|t - pote|t - Persian War",NULL
1.1.1,θαλάσσης,http://pleiades.stoa.org/places/560221,37.42245628773585,25.8829628235849,water-open,"Aegaeum Mare","physical|thalassa|t - Macedonian War",1.1.1
1.1.1,"κορυφῇ τῆς ἄκρας",http://topostext.org/place/376240LSou,37.6498,24.0247,NULL,"Sounion cape (Attica)","physical|koruphe|Paus|f - narratee","The peak of the promontory"
1.1.1,Κυκλάδας,http://pleiades.stoa.org/places/560353,37.0415464153846,25.139512376923083,"island,archipelago","Cyclades Islands",physical|nesos|synoptic,NULL
1.1.1,Λαύριόν,http://pleiades.stoa.org/places/580010,37.712252,24.039891,region,Laureion,"built|deme|Paus|f - narratee",NULL
1.1.1,ναὸς,http://topostext.org/place/377240SAth,37.6529,24.0271,NULL,"Sounion Athena T (Attica)","built|naos|Paus|f - narratee|Athena",NULL
1.1.1,Πατρόκλου,http://pleiades.stoa.org/places/580060,37.625,23.875,island,"Patroklou Charax (island)","physical|nesos|Paus|f - narratee|n - kaleō","deserted - before (the reason it was chosen) or after (the fortifications falling into disrepair?)"
1.1.1,Σούνιον,http://pleiades.stoa.org/places/580108,37.625,24.125,cape,"Sounion Pr.",physical|akra|synoptic,NULL
1.1.1,σφίσιν,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","proxy|t - Macedonian War",NULL
1.1.1,χώραν,http://pleiades.stoa.org/places/579888,38.051998833333336,23.818991099999998,region,Attica,"regional|chora|t - Macedonian War|tr - phtheirō","echo of the first line, but chora used rather than ge|chora physical, but referent is Attica (a region)"
1.1.2,Ἀθηναίοις,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","proxy|t - Persian War|t - proteron|t - prin",NULL
1.1.2,Ἀθηναίοις,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","proxy|t - post-Persian War|f - they say|tr - metamelomai",NULL
1.1.2,αὐτόθεν,http://pleiades.stoa.org/places/580071,37.875,23.625,unknown,"Phaleron Limen","built|locative|t - heroic age|f - they say",NULL
1.1.2,γεγραμμένος,http://topostext.org/binder/JB2801,37.9717,23.7257,NULL,"Themistokles, painting",object|painting|opsis|Themistokles,1.1.2
