"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"1335a4f3-4bb2-4227-a67c-7934bb3bc984","Book6.xml","ἕπεται δέ μοι τῷ λόγῳ τῷ ἐς τὰ ἀναθήματα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::40","","","","","","","","","xref 5.16.1-5.27.12","Pausanias' account of the offerings in Olympia in Book 5","",""
"901f03c6-16ef-4823-b3d2-962e47cb323c","Book6.xml","μοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::10;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::13","EVENT","","","","","","","","1st person narrative|Pausanias","","",""
"1acd5511-864a-4c6a-9d6e-f52f6fde6308","Book6.xml","τὸ μετὰ τοῦτο ἤδη ποιήσασθαι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::41;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::69","","","","","","","","","xref 6.1.3-6.18.7","Pausanias on his forthcoming account of statues of athletes and race-horses","",""
"292a8f27-c829-43a1-a17e-2027fdcd0812","Book6.xml","ἵππων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::74;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::79","","","","","","","","","animal|hippos","","",""
"cb7921f0-ecf1-4391-a1ac-ab0d7b3e524e","Book6.xml","ἀθλητῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::108;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::115","","","","","","","","","profession|athlete","","",""
"4c216ddd-e683-47df-8afc-5caed194d88c","Book6.xml","νικησάντων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::146;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::156","PERSON","","","","","","","","Q23905927|olympic victors","","",""
"cc14650a-886a-45d8-b557-3e85b952fd6c","Book6.xml","Ὀλυμπίασιν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::157;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::167","EVENT","","","","","","","","","Olympic Games","",""
"40157f74-048c-4be5-b49e-e574c9486613","Book6.xml","ἐκέλευσεν ἀφεῖναί με ὁ λόγος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::8;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::36","EVENT","","","","","","","","1st person narrative|Pausanias","Pausanias mentions that he is not going to mention some Olympic victors who distinguished themselves other at the games or by other exploits","",""
"86c1c9e8-5df3-4b40-8d96-31be4004924b","Book6.xml","ἀθλητῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::61;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::68","","","","","","","","","profession|athlete","","",""
"bda4f05c-967c-40b0-af7a-b3c694ea874e","Book6.xml","Ὀλυμπικαὶ νῖκαι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::87;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::102","EVENT","","","","","","","","agôn","Olympic victory","",""
"d06d949c-2896-4213-bad8-d642595c69e0","Book6.xml","ἐπέξειμι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::202;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::210","EVENT","","","","","","","","1st person narrative|Pausanias|xref","Pausanias will not record all those awarded statues by the chance of the lot","",""
"08f5fd26-ba98-4619-a2d3-028ed9407b3a","Book6.xml","ναοῦ τῆς Ἥρας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::19;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::32","PLACE","http://topostext.org/place/376216SOHe","Hera T. (Olympia)","","37.63886","21.62998","","VERIFIED","built|naos|Hera|Paus","","",""
"167fa899-7595-43ee-911a-e376ddd01909","Book6.xml","ἀνδρὸς εἰκὼν παλαιστοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::33;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::55","PLACE","http://arachne.dainst.org/entity/3586509","Portrait statue: Symmachos (athlete)  Olympia (Paus. 6.1.3)","","37.638043","21.630599","","VERIFIED","eikôn","","",""
"bf33c950-825c-461a-8ddc-221d9d9a2b07","Book6.xml","Ἠλεῖος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::69;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::75","PLACE","http://pleiades.stoa.org/places/570220","Elis, Elis|Elis","-0750/0300","37.89131","21.37493","theatre,settlement","VERIFIED","male|Elean|proxy","","",""
"6e7f5336-f6f9-451b-b57d-224524f41576","Book6.xml","Σύμμαχος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::77;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::85","PERSON","","","","","","","","Q21102793","","",""
"4598b866-b0e2-49a7-9e18-e29fbd2435f1","Book6.xml","Αἰσχύλου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::86;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::94","PERSON","","","","","","","","WD","","",""
"a223adb3-8486-451f-8d94-3de8b770205d","Book6.xml","παρὰ δὲ αὐτὸν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::96;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::109","PLACE","http://arachne.dainst.org/entity/3586510","Portrait statue: Neolaidas (athlete)  Olympia (Paus. 6.1.3)","","37.638043","21.630599","","VERIFIED","eikôn","","",""
"b097f2a1-7ada-4d3b-a2be-372a427ecce2","Book6.xml","Φενεοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::113;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::119","PLACE","http://pleiades.stoa.org/places/570595","Pheneos, Archaia Feneos (Kalyvia)|Pheneos","-0750/0300","37.91045","22.30692","settlement","VERIFIED","built","","",""
"cc5e74a6-9a19-45e4-ae08-1051c27449e7","Book6.xml","Ἀρκάδων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::124;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::131","PLACE","http://pleiades.stoa.org/places/570102","Arcadia","-0750/0300","37.567419268449626","22.165323097346306","region","VERIFIED","historical|Arcadians|proxy","","",""
"ef2b7d26-c867-4521-a9de-dd894c41c798","Book6.xml","Νεολαΐδας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::132;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::141","PERSON","","","","","","","","Q22919776","","",""
"35b3df40-fc15-4b46-af60-be4660a445b7","Book6.xml","Προξένου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::142;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::150","PERSON","","","","","","","","WD","","",""
"cc3dfc95-e61e-4c48-93e9-f88022570d15","Book6.xml","πυγμῆς ἐν παισὶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::152;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::168","EVENT","","","","","","","","Q106373026","boys' boxing","",""
"a1abacd3-d9f8-4533-bc6a-3bb98adcc988","Book6.xml","ἀνῃρημένος νίκην","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::169;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::185","","","","","","","","","Q23906240","","",""
"4b0a4d12-8528-42a3-8869-982e13c01ee9","Book6.xml","ἐφεξῆς δὲ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::187;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::196","PLACE","http://arachne.dainst.org/entity/3586511","Portrait statue: Archedamos (athlete)  Olympia (Paus. 6.1.3)","","37.638043","21.630599","","VERIFIED","eikôn","","",""
