"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"aa551ba0-10cb-41f8-a290-91232d8845de","Book8.xml","Ἀρκάδων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::7","PLACE","http://pleiades.stoa.org/places/570102","Arcadia","-0750/0300","37.567419268449626","22.165323097346306","region","VERIFIED","regional|Arcadians|proxy","","",""
"18c5d082-23bb-4e61-b680-0c913fef6536","Book8.xml","Ἀργείας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::23;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::30","PLACE","http://pleiades.stoa.org/places/570104","Argolis","-0750/0300","37.6566371145232","22.92059272180843","region","VERIFIED","regional","Argeia","",""
"9a4b12a6-39d5-40c2-8b97-82e8aa239edc","Book8.xml","Τεγεᾶταί","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::31;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::39","PLACE","http://dare.ht.lu.se/places/21915","Tegea, Piali/Episkopi|Tegea","-0750/0300","37.464","22.429","theatre,church,settlement","VERIFIED","historical|Tegeans|proxy","","",""
"afd41210-a2d6-4e60-a036-59c9dd09867c","Book8.xml","Μαντινεῖς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::54;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::63","PLACE","http://dare.ht.lu.se/places/21917","Mantineia/Antigoneia, Mantineia|Mantineia/Antigoneia","-0750/0300","37.618138","22.393259","settlement","VERIFIED","historical|Mantineans|proxy","","",""
"ac07c388-aefc-430e-96f2-0f494c59482b","Book8.xml","Ἀρκαδικὸν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::98;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::107","PLACE","http://pleiades.stoa.org/places/570102","Arcadia","-0750/0300","37.567419268449626","22.165323097346306","region","VERIFIED","regional","implied political entity","",""
"579808ca-5e10-4de7-9d00-953e8dd5cb08","Book8.xml","Πελοποννήσου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::125;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::137","PLACE","http://pleiades.stoa.org/places/570577","Peloponnesus/Peloponnesos/Peloponnese","-0550/0640","37.25289777692308","22.312752688461543","peninsula,region","VERIFIED","regional","","",""
"6f48bf37-c711-4e19-bae1-589e8b7b19a7","Book8.xml","Κορίνθιοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::139;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::148","PLACE","http://dare.ht.lu.se/places/17070","Corinthus/Korinthos, Korinthos|Akrokorinthos, Akrokorinthos|Akrokorinthos|Corinthus/Korinthos","-0750/2100","37.906045","22.878721","sanctuary,settlement,fort","VERIFIED","historical|Corinthians|proxy","","",""
"32950945-e97a-4470-a2df-20bbdbecabc2","Book8.xml","ἰσθμῷ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::169;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::174","PLACE","http://topostext.org/place/379230LIst","Isthmus (Korinthia)","","37.928","22.973","","VERIFIED","physical","","",""
"2bfb7f39-b994-41e8-b7a5-e885abe1bd49","Book8.xml","Κορινθίοις","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::183;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::193","PLACE","http://dare.ht.lu.se/places/17070","Corinthus/Korinthos, Korinthos|Akrokorinthos, Akrokorinthos|Akrokorinthos|Corinthus/Korinthos","-0750/2100","37.906045","22.878721","sanctuary,settlement,fort","VERIFIED","historical|Corinthians|proxy","","",""
"9c2a8c0d-6ab7-45b2-9af9-b215bb216016","Book8.xml","Ἐπιδαύριοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::220;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::230","PLACE","http://dare.ht.lu.se/places/21954","Asklepieion, Asklipieio|Epidauros, Palaia Epidauros|The Sanctuary of Asklepios at Epidauros|Epidauros","-0750/0300","37.596111","23.079167","theatre,sanctuary,settlement","VERIFIED","historical|Epidaurians|proxy","","",""
"cf955dfc-3a5b-4753-91ff-968fa54dda7a","Book8.xml","Ἐπίδαυρον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::250;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::259","PLACE","http://dare.ht.lu.se/places/21954","Asklepieion, Asklipieio|Epidauros, Palaia Epidauros|The Sanctuary of Asklepios at Epidauros|Epidauros","-0750/0300","37.596111","23.079167","theatre,sanctuary,settlement","VERIFIED","built|polis","","",""
