"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"54141012-ec95-420b-9b04-6d0a6b5834eb","Book3.xml","Ἑρμᾶς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::13;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::18","PLACE","http://pleiades.stoa.org/places/570291","Hermai, Phonemenoi|Hermai","-0750/0300","37.32399","22.543094","temple","VERIFIED","built|monument|Paus|37.3091 22.5324","DAI3652686 Hermai border monuments","",""
"bbe00ca5-39ce-4712-b85e-56e8971a7f61","Book3.xml","Λακωνικὴ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::29;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::37","PLACE","http://pleiades.stoa.org/places/570406","Lacedaemon/Laconia","-0750/0300","37.07624042080912","22.46082645177671","region","VERIFIED","regional","","",""
"b51ccfda-f708-4734-b417-2fd6984651ed","Book3.xml","Λακεδαιμόνιοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::67;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::80","PLACE","http://pleiades.stoa.org/places/570406","Lacedaemon/Laconia","-0750/0300","37.07624042080912","22.46082645177671","region","VERIFIED","historical|Lakedaimonians|proxy","","",""
"47bf0fbd-c54b-41c1-8be9-f484bfdff56f","Book3.xml","λέγουσι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::81;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::88","","","","","","","","","f - Lakedaimonians","Lelex first king of Lakonia","",""
"f33962b8-b5fe-4bcf-9e35-5dc933a14af3","Book3.xml","Λέλεξ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::90;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::95","PERSON","","","","","","","","Q1419059","Lelex","",""
"f55090f1-9f52-432f-9c47-20ad32094d1b","Book3.xml","Λέλεγες","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::156;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::163","PERSON","","","","","","","","Q375221|tribe","Leleges","",""
"d5360e87-a7da-4fff-8e8a-218437bae54f","Book3.xml","Λέλεγος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::186;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::193","PERSON","","","","","","","","Q1419059","Lelex","",""
"ba7384dd-c398-47db-ad13-238fb0038548","Book3.xml","Μύλης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::205;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::210","PERSON","","","","","","","","Q1956649","Myles s. Lelex","",""
"28c9689c-9db8-4075-a06f-87d66c60afac","Book3.xml","Πολυκάων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::224;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::232","PERSON","","","","","","","","Q2102913","Polycaon","",""
"3313fff2-1478-403f-b473-915306c500d5","Book3.xml","Πολυκάων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::234;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::242","PERSON","","","","","","","","Q2102913","Polycaon","",""
"76baba7f-f3cd-41e1-acc5-c5290b0007ff","Book3.xml","ἑτέρωθι δηλώσω","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::289;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::303","","","","","","","","","xref|Pausanias|4.1.1","Pausanias on reasons for Polycaon's departure","",""
"e3728937-479b-4d46-8905-d16b04e24d72","Book3.xml","Μύλητος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::305;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::312","PERSON","","","","","","","","Q1956649","Myles f. Eurotas","",""
"53f4b173-68a9-4b30-b77d-de83956b7c75","Book3.xml","Εὐρώτας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::347;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::354","PERSON","","","","","","","","Q1378335","Eurotas s. Myles","",""
"1120cedc-28e9-4e60-bb80-6086ea5e7b36","Book3.xml","πεδίῳ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::398;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::403","PLACE","","","","","","","NOT_IDENTIFIABLE","pedion","plain of the Eurotas","",""
"646a84a8-7c95-444d-bb4d-80f828538e82","Book3.xml","διώρυγι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::404;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::411","PLACE","","","","","","","NOT_IDENTIFIABLE","built|canal","channel to the sea to drain Eurotas plain","",""
"b703a04c-fd0e-4772-b431-0a12ccb2c592","Book3.xml","θάλασσαν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::426;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::434","PLACE","http://topostext.org/place/367227WLac","Laconian Gulf (Lakonia)","","36.66","22.71","","VERIFIED","thalassa","Lakonian gulf","",""
