person,personLabel,genderLabel,personDescription,entityLabel,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q305567,Abaris the Hyperborean,male,"semi-legendary Greek physician, magician, and prophet of Apollo",mythological Greek character,,,,,https://en.wikipedia.org/wiki/Abaris_the_Hyperborean,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q305567,Abaris the Hyperborean,male,"semi-legendary Greek physician, magician, and prophet of Apollo",human whose existence is disputed,,,,,https://en.wikipedia.org/wiki/Abaris_the_Hyperborean,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q15781282,Abartus,male,mythical king of Phocaea,mythological Greek character,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q305613,Abas,male,"mythical character, son of Melampus",mythological Greek character,,Melampus,,,,http://www.wikidata.org/entity/Q602258,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q331602,Abrupolis,male,2nd-century BC king of the Thracian Sapaei,human,-0200-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Abrupolis,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q21547758,Acacesius,,epithet of Hermes in Arcadia,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q3604254,Acesidas,male,Idaean Dactyl with altar at Olympia,mythical entity,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q3604254,Acesidas,male,Idaean Dactyl with altar at Olympia,mythological Greek character,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q3604254,Acesidas,male,Idaean Dactyl with altar at Olympia,Dactyls,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q115379458,Acesis,male,ancient Greek healing divinity venerated at Epidaurus,Greek deity,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q21547772,Acesius,,epithet of Apollo as healer,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q106802838,Achaeia,female,Hyperborean maiden in Greek mythology,mythological Greek character,,,,Hyperborea,,,,http://www.wikidata.org/entity/Q243333,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q124644622,Acheloos altar in Megara,,ancient cult place in Attica attested by Pausanias (1.41.2),altar,,,,,,,,,,
http://www.wikidata.org/entity/Q60790558,Achelous River,,"ancient river in Arcadia, Greece",seasonal river,,,,,https://en.wikipedia.org/wiki/Achelous_River_(Arcadia),,,,,
http://www.wikidata.org/entity/Q122965814,Achladaeus,male,Spartan military officer killed by Aristomenes,human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q12873241,Acmenes,,nymphs honored at Olympia,group of mythical characters,,,,,,,,,,
http://www.wikidata.org/entity/Q21547822,Acratophorus,,epithet of Dionysos at Phygalia,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q12647288,Acratus,male,daemon associated with Dionysus or Apollo in Athens,Greek deity,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q124616548,Acropolis of Asopos,,Ancient place in Lakonia attested by Pausanias (3.22.9),acropolis,,,,,,,,,,
http://www.wikidata.org/entity/Q106997152,Acropolis of Elis,,"hilltop NE of modern Elida, citadel site of ancient Elis",archaeological site,,,,,,,,,,classical antiquity
http://www.wikidata.org/entity/Q106997152,Acropolis of Elis,,"hilltop NE of modern Elida, citadel site of ancient Elis",acropolis,,,,,,,,,,classical antiquity
http://www.wikidata.org/entity/Q124616549,Acropolis of Epidauros Limera,,Ancient place in Lakonia attested by Pausanias (3.23.10),acropolis,,,,,,,,,,
http://www.wikidata.org/entity/Q124616547,Acropolis of Geronthrai,,Ancient place in Lakonia attested by Pausanias (3.22.7),acropolis,,,,,,,,,,
http://www.wikidata.org/entity/Q124616546,Acropolis of Gythion,,Ancient place in Lakonia attested by Pausanias (3.21.9),acropolis,,,,,,,,,,
http://www.wikidata.org/entity/Q124616550,Acropolis of Leuktra,,Ancient place in Lakonia attested by Pausanias (3.26.5),acropolis,,,,,,,,,,
http://www.wikidata.org/entity/Q421184,Acrotatus,male,Agiad King of Sparta from 265 to 262 BC,human,-0261-01-01T00:00:00Z,Areus I,,,https://en.wikipedia.org/wiki/Acrotatus_(king_of_Sparta),http://www.wikidata.org/entity/Q521565,,,http://www.wikidata.org/entity/Q6581097,classical antiquity
http://www.wikidata.org/entity/Q2823758,Actor,male,son of Azeus in Greek mythology,mythological Greek character,,Azeus,,,,http://www.wikidata.org/entity/Q12873065,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q423894,Acusilaus,male,ancient Greek logographer and mythographer,human,,,,Argos,https://en.wikipedia.org/wiki/Acusilaus,,,http://www.wikidata.org/entity/Q189901,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q91121089,Admetus,male,"son of Augeias, represented in Iliupersis painting at Delphi",mythological Greek character,,Augias,,,https://en.wikipedia.org/wiki/Admetus_(son_of_Augeas),http://www.wikidata.org/entity/Q91109430,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q16737262,Adrasteia,female,mountain goddess in Greek mythology,Greek deity,,Zeus,Ananke,,,http://www.wikidata.org/entity/Q34201,http://www.wikidata.org/entity/Q332246,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q16737262,Adrasteia,female,mountain goddess in Greek mythology,Greek deity,,Zeus,Themis,,,http://www.wikidata.org/entity/Q34201,http://www.wikidata.org/entity/Q159168,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q107092424,Adrastos the Lydian,male,"volunteer for the Greek cities resisting Macedon, honored by a statue",human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q377669,Adristas,male,inventor of weaving in Greek mythology,mythological Greek character,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q403408,Aeantides of Miletus,male,"fought with Lysander at Aegospotami, he was represented in a votive group in Delphi",human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q3607060,Aechmagoras,male,"Greek mythical character, son of Hercules",mythological Greek character,,Heracles,Phialo,,,http://www.wikidata.org/entity/Q122248,http://www.wikidata.org/entity/Q7181590,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q91121903,Aechmeas of Parapotami,male,winner in Pythian games,Pythian games winner,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q91121903,Aechmeas of Parapotami,male,winner in Pythian games,human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q1422648,Aegialeus,male,mythical king of Sicyon,mythological Greek character,,Inachus,Melia,,https://en.wikipedia.org/wiki/Aegialeus_(King_of_Sicyon),http://www.wikidata.org/entity/Q735623,http://www.wikidata.org/entity/Q785598,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q1422648,Aegialeus,male,mythical king of Sicyon,mythological Greek character,,Phoroneus,Melia,,https://en.wikipedia.org/wiki/Aegialeus_(King_of_Sicyon),http://www.wikidata.org/entity/Q649624,http://www.wikidata.org/entity/Q785598,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q21547938,Aeginaea,,epithet of Artemis,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q106922918,Aeginetes son of Dereites,male,mythical father of Pelias,mythological Greek character,,Dereites,,,https://en.wikipedia.org/wiki/Aeginetes,http://www.wikidata.org/entity/Q106923031,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q21272183,Aegle,female,"Greek mythical character, Hesperid",mythological Greek character,,Hesperus,,,,http://www.wikidata.org/entity/Q59697,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q21547952,Aegobolus,,epithet of Dionysus in Boeotia,epithet,,,,,,,,,,
