"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"9429d9fd-d39d-49d3-ad6f-578647527524","1.1 - 5.5: approaching Athens","Ἑλληνικῆς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::16;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::25","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","regional|epeiros|synoptic","1.1.1","",""
"ec5a0bf0-7d82-47a8-8329-315175401aaa","1.1 - 5.5: approaching Athens","κατὰ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::26;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::30","","","","","","","","","lx: kata","","",""
"a48074f0-0f8b-42e2-9633-b350ccf8d342","1.1 - 5.5: approaching Athens","Κυκλάδας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::42;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::50","PLACE","http://pleiades.stoa.org/places/560353","Cyclades Islands","-0030/0300","37.0415464153846","25.139512376923083","island,archipelago","VERIFIED","physical|nesos|synoptic","","",""
"6690f56a-0479-4334-9f91-5f6e16574e4d","1.1 - 5.5: approaching Athens","Αἰγαῖον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::66;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::73","PLACE","http://pleiades.stoa.org/places/560221","Aegaeum Mare","-0550/2100","37.42245628773585","25.8829628235849","water-open","VERIFIED","physical|pelagos|synoptic","","",""
"8c929081-0f25-426f-9a85-af8a04d95850","1.1 - 5.5: approaching Athens","Σούνιον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::79;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::86","PLACE","http://pleiades.stoa.org/places/580108","Sounion Pr.","","37.625","24.125","cape","VERIFIED","physical|akra|synoptic","","",""
"02c2c8ee-58ed-4a7f-83ad-3a2d20411876","1.1 - 5.5: approaching Athens","πρόκειται","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::87;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::96","","","","","","","","","r - Herodotus","","",""
"74d3e21a-a61c-4661-abf1-cc29357e0739","1.1 - 5.5: approaching Athens","Ἀττικῆς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::105;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::112","PLACE","http://pleiades.stoa.org/places/579888","Attica","-0750/0640","38.051998833333336","23.818991099999998","region","VERIFIED","regional|ge|synoptic","","",""
"5f5981ac-cdc2-49ac-b620-afa7ae5f5fc9","1.1 - 5.5: approaching Athens","λιμήν","from=/tei/text/body/div/div/div[1]/div[1]/p::118;to=/tei/text/body/div/div/div[1]/div[1]/p::123","PLACE","","","","","","","NOT_IDENTIFIABLE","built|limen|Paus|f - narratee","harbour, Sounion","",""
"fb52d984-3b83-4b63-aa95-d6e0e9cbd781","1.1 - 5.5: approaching Athens","παραπλεύσαντι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::127;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::140","EVENT","","","","","","","","third-person|narratee|m - pleō|mx: pleō","","",""
"87953213-dcc6-4cc3-889b-40e9a7c54a7a","1.1 - 5.5: approaching Athens","ἄκραν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::145;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::150","PLACE","http://pleiades.stoa.org/places/580108","Sounion Pr.","","37.625","24.125","cape","VERIFIED","physical|akra|Paus|f - narratee","","",""
"f78c938a-5039-49f4-9e7a-071475ebee32","1.1 - 5.5: approaching Athens","ναὸς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::160;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::164","PLACE","http://topostext.org/place/377240SAth","Sounion Athena T (Attica)","","37.6529","24.0271","","VERIFIED","built|naos|Paus|f - narratee|Athena","","",""
"2f368f94-c20e-400d-bfd3-0bb6e4311b60","1.1 - 5.5: approaching Athens","Ἀθηνᾶς Σουνιάδος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::165;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::181","PERSON","","","","","","","","","Q37122","",""
"54fb2ada-54f5-410a-afc4-3344ded0b2f8","1.1 - 5.5: approaching Athens","Σουνιάδος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::172;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::181","","","","","","","","","epiklesis|Athena|Sounion|Q107349715","Q107349715","",""
"a0d57070-c819-460c-9032-c0ba546ad4da","1.1 - 5.5: approaching Athens","κορυφῇ τῆς ἄκρας","from=/tei/text/body/div/div/div[1]/div[1]/p::186;to=/tei/text/body/div/div/div[1]/div[1]/p::202","PLACE","http://topostext.org/place/376240LSou","Sounion cape (Attica)","","37.6498","24.0247","","VERIFIED","physical|koruphe|Paus|f - narratee","The peak of the promontory","",""
"0fd45d49-7d0b-4ab1-9fcf-c2b02b9c926e","1.1 - 5.5: approaching Athens","πλέοντι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::204;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::211","EVENT","","","","","","","","third-person|narratee|m - pleō|mx: pleō","","",""
"ac21906d-3bad-4ce3-a224-88b71369183a","1.1 - 5.5: approaching Athens","Λαύριόν","from=/tei/text/body/div/div/div[1]/div[1]/p::227;to=/tei/text/body/div/div/div[1]/div[1]/p::234","PLACE","http://pleiades.stoa.org/places/580010","Laureion","","37.712252","24.039891","region","VERIFIED","built|deme|Paus|f - narratee","","",""
"0de5a29d-f4cb-45db-bd80-541ff9774cda","1.1 - 5.5: approaching Athens","ἔνθα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::245;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::249","PLACE","http://pleiades.stoa.org/places/580010","Laureion","","37.712252","24.039891","region","VERIFIED","built|deme|lx: entha|t - pote|t - Persian War","","",""
"28f4aa4f-74db-4009-b35f-746a58693875","1.1 - 5.5: approaching Athens","ποτὲ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::250;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::254","","","","","","","","","tx: pote","","",""
"6298e3c9-e89c-4afd-80b0-fb614014b1e9","1.1 - 5.5: approaching Athens","Ἀθηναίοις","from=/tei/text/body/div/div/div[1]/div[1]/p::255;to=/tei/text/body/div/div/div[1]/div[1]/p::264","PLACE","http://pleiades.stoa.org/places/579885","Athenae, Athína|Athenae","-0750/2100","37.971687","23.726464","settlement","VERIFIED","proxy|t - pote|t - Persian War","","",""
