"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"1b7f2617-a410-4a6a-a8ac-34fcb8e73ffd","1.1-5.5","Κορινθία","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::5;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::13","PLACE","http://pleiades.stoa.org/places/570182","Corinthus/Korinthos, Korinthos|Akrokorinthos, Akrokorinthos|Akrokorinthos|Corinthus/Korinthos","-0750/2100","37.906045","22.878721","sanctuary,settlement,fort","VERIFIED","regional|chōra|synoptic","","",""
"b8047da7-0b02-4417-9943-98897305579d","1.1-5.5","Ἀργείας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::34;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::41","PLACE","http://pleiades.stoa.org/places/570104","Argolis","-0750/0300","37.6566371145232","22.92059272180843","region","VERIFIED","regional|chōra|synoptic","","",""
"55576917-fafc-4924-8e23-b503e980b174","1.1-5.5","Κορίνθου","from=/tei/text/body/div/div/div[1]/div[1]/p::46;to=/tei/text/body/div/div/div[1]/div[1]/p::54","PERSON","","","","","","","","Q31256","","",""
"9a8e8a8a-f210-47ae-8c51-8820e1885ba9","1.1-5.5","Διὸς","from=/tei/text/body/div/div/div[1]/div[1]/p::72;to=/tei/text/body/div/div/div[1]/div[1]/p::76","PERSON","","","","","","","","Q34201","","",""
"930c77f6-d41d-4354-9802-42a1188ce285","1.1-5.5","Κόρινθον","from=/tei/text/body/div/div/div[1]/div[1]/p::86;to=/tei/text/body/div/div/div[1]/div[1]/p::94","PERSON","","","","","","","","Q31256","","",""
"74cc9b2a-3bb8-47da-aa98-6c1872704346","1.1-5.5","οἶδα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::102;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::106","","","","","","","","","f-Pausanias","","",""
"6c2dc849-04d1-4b24-bab1-2afd728ae2e7","1.1-5.5","Κορινθίων","from=/tei/text/body/div/div/div[1]/div[1]/p::130;to=/tei/text/body/div/div/div[1]/div[1]/p::139","PLACE","http://pleiades.stoa.org/places/570182","Corinthus/Korinthos, Korinthos|Akrokorinthos, Akrokorinthos|Akrokorinthos|Corinthus/Korinthos","-0750/2100","37.906045","22.878721","sanctuary,settlement,fort","VERIFIED","historical|Corinthians|proxy","","",""
"08ebad3a-b488-4538-a159-4bfa8d09b2bb","1.1-5.5","Εὔμηλος","from=/tei/text/body/div/div/div[1]/div[1]/p::152;to=/tei/text/body/div/div/div[1]/div[1]/p::159","PERSON","","","","","","","","Q391254|f-Eumelus","","",""
"6fd47a1c-d51b-4ca2-9c9c-a1e1a08ff5c3","1.1-5.5","Ἀμφιλύτου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::165;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::174","PERSON","","","","","","","","Q115125381","","",""
"9dd18484-f333-4d17-8f49-02583d577756","1.1-5.5","Βακχιδῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::179;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::187","PERSON","","","","","","","","Q804277","","",""
"21121d66-4f59-467b-b1f9-7a9fe85f4fae","1.1-5.5","ἔπη","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::210;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::213","","","","","","","","","work|epos","","",""
"806e83cf-f4b3-4559-90f9-17d8c03fa845","1.1-5.5","λέγεται","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::214;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::221","","","","","","","","","f-it is said","","",""
"59141c9d-8202-47f2-8472-a51821ee0b54","1.1-5.5","φησὶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::231;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::236","","","","","","","","","f-Eumelus","","",""
"49a6e9c9-dd5f-41e1-a396-279aab8f33c2","1.1-5.5","Κορινθίᾳ συγγραφῇ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::243;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::260","","","","","","","","","Q115209579|work|epos","Korinthiaka of Eumelos","",""
"fb6ed64b-fc64-47ba-af16-7cec90db5317","1.1-5.5","Εὐμήλου","from=/tei/text/body/div/div/div[1]/div[1]/p::267;to=/tei/text/body/div/div/div[1]/div[1]/p::274","PERSON","","","","","","","","Q391254","","",""
