"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"58cd3690-ae54-4b6f-9293-dcf1dd08fb3b","Book4.xml","Μεσσηνίοις","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::10","PLACE","http://topostext.org/place/372218RMes","Messenia region (Messenia)","","37.2","21.8","","VERIFIED","historical|Messenians|proxy","","",""
"e64d72c2-d3ac-4614-8bea-491b36dcd4c1","Book4.xml","τὴν σφετέραν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::19;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::31","PLACE","","","","","","","NOT_IDENTIFIABLE","political","piece of land towards Gerenia given to the Lacedaemonians by the emperor","",""
"e34d8b3f-cb31-4e18-ada7-83fdbf988721","Book4.xml","βασιλέως","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::58;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::66","PERSON","","","","","","","","basileus","","",""
"2b7380d3-5846-4bac-80b9-d10f85f66d6c","Book4.xml","Λακωνικὸν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::73;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::82","PLACE","http://pleiades.stoa.org/places/570406","Lacedaemon/Laconia","-0750/0300","37.07624042080912","22.46082645177671","region","VERIFIED","regional","","",""
"1cda1c5b-1b6c-47ae-8b6d-f8b2a53b4cd4","Book4.xml","ὅροι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::83;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::87","PLACE","","","","","","","NOT_IDENTIFIABLE","political|horos","Border between Lakonia and Messinia in Pausanias's time","",""
"388dac7a-430e-4d32-b87c-4b12065908e8","Book4.xml","Γερηνίαν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::97;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::105","PLACE","http://dare.ht.lu.se/places/27436","Gerenia/Gerena, Zarnatas?|Geren(i)a","-0550/0300","36.927195","22.208656","settlement","VERIFIED","built|settlement","","",""
"f46bf396-c9d6-4070-8be7-af29f322d26b","Book4.xml","ἐφʼ ἡμῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::112;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::120","EVENT","","","","","","","","tx:Paus","","",""
"8d49a80e-1ef4-49ef-b0b6-96e4134b14d0","Book4.xml","Χοίριος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::135;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::142","PLACE","http://pleiades.stoa.org/places/573172","Choirios Nape","","","","unlocated","VERIFIED","physical|napê","","",""
"d66be2c1-0e86-417b-af63-eeb3dd59d2b7","Book4.xml","ἔρημον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::166;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::172","","","","","","","","","attribute|erêmos","","",""
"5841ccb0-550d-4abc-a7b3-a6bd7b789165","Book4.xml","Λέλεγος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::235;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::242","PERSON","","","","","","","","Q1419059","","",""
