"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"e835be7d-9661-4c36-8543-45457098f8c6","Book5.xml","Ἑλλήνων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::8;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::15","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","historical|Greeks|proxy","","",""
"e0c44b95-53ac-435c-98eb-34823f831db5","Book5.xml","Πελοποννήσου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::16;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::28","PLACE","http://pleiades.stoa.org/places/570577","Peloponnesus/Peloponnesos/Peloponnese","-0550/0640","37.25289777692308","22.312752688461543","peninsula,region","VERIFIED","regional","","",""
"41d6ae35-d723-451d-8b4e-31069db40afd","Book5.xml","ἐν τῇ Ἀρκάδων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::96;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::109","PLACE","http://pleiades.stoa.org/places/570102","Arcadia","-0750/0300","37.567419268449626","22.165323097346306","region","VERIFIED","historical|proxy|Arcadians","land of the Arcadians","",""
"7e97c47b-40ad-46a0-ae33-1499a0b88e6f","Book5.xml","Ἠλεῖοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::119;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::125","PLACE","http://dare.ht.lu.se/places/21944","Elis, Elis|Elis","-0750/0300","37.89131","21.37493","theatre,settlement","VERIFIED","historical|Eleans|proxy","","",""
"ac4561e5-1cc3-4970-9189-cf660c256be4","Book5.xml","Ἀρκάδες","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::130;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::137","PLACE","http://pleiades.stoa.org/places/570102","Arcadia","-0750/0300","37.567419268449626","22.165323097346306","region","VERIFIED","ethnic|historical|Arcadians|proxy","","",""
"2f896bbf-d11b-4f97-a54e-f7790a3ce0c7","Book5.xml","Ἀχαιῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::150;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::156","PLACE","http://pleiades.stoa.org/places/570028","Achaea/Achaia (region)","-0750/0300","38.102121472776034","22.224585911364017","region","VERIFIED","historical|Achaeans|proxy","","",""
"f674c30b-b6b0-4b01-aa6c-6435d35c4e38","Book5.xml","Δωριέων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::182;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::189","PERSON","","","","","","","","historical|Dorians|Q203711","","",""
"e3007cc9-df6a-4928-b303-37125191b0ec","Book5.xml","Πελοπόννησον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::205;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::217","PLACE","http://pleiades.stoa.org/places/570577","Peloponnesus/Peloponnesos/Peloponnese","-0550/0640","37.25289777692308","22.312752688461543","peninsula,region","VERIFIED","regional","","",""
"f2bc11c4-0838-4ade-bcd7-2eb4b71b358e","Book5.xml","Ἀρκάδες","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::218;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::225","PLACE","http://pleiades.stoa.org/places/570102","Arcadia","-0750/0300","37.567419268449626","22.165323097346306","region","VERIFIED","ethnic|historical|Arcadians|proxy","","",""
"117688c3-3559-4a12-a3cb-0b1a11dde98c","Book5.xml","Ἀχαιοί","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::245;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::251","PLACE","http://pleiades.stoa.org/places/570028","Achaea/Achaia (region)","-0750/0300","38.102121472776034","22.224585911364017","region","VERIFIED","historical|Achaeans|proxy","","",""
"b345e883-e229-45b9-91e4-eed3ff68975b","Book5.xml","Δωριέων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::268;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::275","PERSON","","","","","","","","historical|Dorians|Q203711","","",""
"ac02023c-1838-47ae-9851-ae7489f5b98d","Book5.xml","Πελοποννήσου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::313;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::325","PLACE","http://pleiades.stoa.org/places/570577","Peloponnesus/Peloponnesos/Peloponnese","-0550/0640","37.25289777692308","22.312752688461543","peninsula,region","VERIFIED","regional","","",""
"72b92250-f2ce-4d42-b572-2c37d5bc3c00","Book5.xml","Ἴωνας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::357;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::362","PLACE","http://pleiades.stoa.org/places/550597","Ionia (region)","-0750/0640","38.258572855555556","27.36601213333333","region","VERIFIED","historical|Ionians|proxy","","",""
"a00c3f8d-307f-4eaa-adea-bde6a840447c","Book5.xml","Αἰγιαλὸν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::376;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::384","PLACE","http://pleiades.stoa.org/places/570028","Achaea/Achaia (region)","-0750/0300","38.102121472776034","22.224585911364017","region","VERIFIED","regional|Achaea","Aegialus = former name of Achaea","",""
"1b1b1e10-62a6-4dd1-8f03-94a8b9237c32","Book5.xml","Ἀχαιῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::412;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::418","PLACE","http://pleiades.stoa.org/places/570028","Achaea/Achaia (region)","-0750/0300","38.102121472776034","22.224585911364017","region","VERIFIED","historical|Achaeans|proxy","","",""
"e0f04ca8-4f51-4e08-b9c0-36fd40074d6d","Book5.xml","Ἀρκάδες","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::6;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::13","PLACE","http://pleiades.stoa.org/places/570102","Arcadia","-0750/0300","37.567419268449626","22.165323097346306","region","VERIFIED","historical|Arcadians|proxy|ethnic","","",""
"f103316a-1b10-45b2-af01-f9e01ad3a247","Book5.xml","Κορίνθιοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::104;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::113","PLACE","http://dare.ht.lu.se/places/17070","Corinthus/Korinthos, Korinthos|Akrokorinthos, Akrokorinthos|Akrokorinthos|Corinthus/Korinthos","-0750/2100","37.906045","22.878721","sanctuary,settlement,fort","VERIFIED","historical|Corinthians|proxy","","",""
"fca74a4a-258e-40bb-9f15-d3589f0d9bf2","Book5.xml","Πελοποννησίων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::138;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::151","PLACE","http://pleiades.stoa.org/places/570577","Peloponnesus/Peloponnesos/Peloponnese","-0550/0640","37.25289777692308","22.312752688461543","peninsula,region","VERIFIED","historical|Peloponnesians|proxy","","",""
"8aef60ac-1a0b-4698-802d-51eb5279b873","Book5.xml","ἀφʼ οὗ τὴν γῆν παρὰ βασιλέως ἔχουσιν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::170;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::206","EVENT","","","","","","","","tx:44 BCE","Foundation of Roman colony of Corinth","",""
"9417ef11-a408-4637-b0fc-4830e1346cdd","Book5.xml","εἴκοσιν ἔτη καὶ διακόσια τριῶν δέοντα ἦν ἐς ἐμέ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::208;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::255","EVENT","","","","","","","","tx:174 CE|tx:Paus","Pausanias' time 217 years after refounding of Corinth in 44 BCE","",""
"56ed7660-ed68-42dc-a70b-f31fc6a1003a","Book5.xml","Δρύοπες","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::257;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::264","PLACE","http://topostext.org/place/392210RDry","Dryopis region (Arta)","","39.2","21.0","","VERIFIED","historical|Dryopians|proxy","","",""
"b0f739b6-516d-452b-82c8-f50e1c5517c1","Book5.xml","Δωριεῖς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::272;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::279","PERSON","","","","","","","","historical|Dorians|Q203711","","",""
