"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"3c63378b-0fe6-4357-9c4a-a581421c2dec","Book9.xml","Ἀθηναίοις","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::9","PLACE","http://pleiades.stoa.org/places/579885","Athenae, Athína|Athenae","-0750/2100","37.971687","23.726464","settlement","VERIFIED","proxy|synoptic","","",""
"248ab606-0d7a-44a0-ba28-92adc09b387c","Book9.xml","Βοιωτία","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::15;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::22","PLACE","http://pleiades.stoa.org/places/540689","Boeotia","-0550/0300","38.34668803333333","23.184677533333332","region","VERIFIED","regional|synoptic|l - homoros","","",""
"d035214a-856c-4f62-affe-05fcbbeb6302","Book9.xml","Ἀττικῆς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::41;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::48","PLACE","http://pleiades.stoa.org/places/579888","Attica","-0750/0640","38.051998833333336","23.818991099999998","region","VERIFIED","regional|synoptic","","",""
"155bb3dc-1ff2-4d30-8a20-162cbe75987e","Book9.xml","ὅμορος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::55;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::61","","","","","","","","","lx: homoros","","",""
"dea24d89-84f5-46cc-9933-2c063282e814","Book9.xml","πρὸς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::63;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::67","","","","","","","","","lx: pros","","",""
"90181913-606c-4e1d-bafe-5c5d995f84aa","Book9.xml","Ἐλευθερῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::71;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::80","PLACE","http://pleiades.stoa.org/places/540756","Eleutherai, Gyphtokastro|Eleutherai","-0750/-0330","38.17934","23.37572","settlement,fort","VERIFIED","built|settlement|synoptic","","",""
"588a43e6-d938-4b7c-955d-cef5df01447a","Book9.xml","Πλαταιεῖς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::84;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::93","PLACE","http://pleiades.stoa.org/places/541063","Plataiai, Kokkla|Plataea","-0750/0640","38.221019","23.273866","settlement","VERIFIED","synoptic|l - pros|historical|Plataeans|proxy","","",""
"72a341af-63cc-40cd-a439-9af60d63485c","Book9.xml","Βοιωτοὶ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::95;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::102","PLACE","http://pleiades.stoa.org/places/540689","Boeotia","-0550/0300","38.34668803333333","23.184677533333332","region","VERIFIED","proxy|t - heroic age|xm - echō|n - onoma|ethnic","","",""
"a555a15c-de12-4887-a255-1d14e9002719","Book9.xml","Βοιωτοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::127;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::134","PERSON","","","","","","","","eponym|Q18018814|t - heroic age","Boiôtos son of Itônos and the nymph Melanippê","",""
"75a88b65-d50e-4cb2-8ff9-0770f4255e4f","Book9.xml","ὄνομα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::138;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::143","","","","","","","","","nx: onoma","","",""
"d1b5edca-7533-4fd4-8c79-04aea5f7d211","Book9.xml","ἔσχηκεν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::144;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::151","","","","","","","","","xmx: echō","","",""
"713c1536-5e82-4138-ba83-9f6498db0fb2","Book9.xml","Ἰτώνου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::156;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::162","PERSON","","","","","","","","mythical|male|Q4205332|f - they say|t - heroic age","Itônos son of Amphiktuon","",""
"79f5ec49-e84b-4428-9e8e-20202fd3c064","Book9.xml","Μελανίππης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::183;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::193","PERSON","","","","","","","","mythical|female|nymph|Q12841832|f - they say|t - heroic age","Melanippê mother of Boiôtos","",""
"dab1330f-dc7e-449b-a65b-069ee283ecc1","Book9.xml","Ἴτωνον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::195;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::201","PERSON","","","","","","","","mythical|male|Q4205332|t - heroic age|f - they say","Itônos son of Amphiktuon","",""
"18ce8268-4726-4375-b3e1-a226bfedcc7d","Book9.xml","Ἀμφικτύονος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::205;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::216","PERSON","","","","","","","","mythical|male|Q474854|t - heroic age|f - they say","Amphictyon f. Itonos","",""
"31639f50-08e8-4377-91c5-27034025bbaa","Book9.xml","καλοῦνται","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::232;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::241","","","","","","","","","nx: kaleō","","",""
"dcc131e8-8006-4cd5-a12c-03295f54ce8f","Book9.xml","πόλεις","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::250;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::256","PLACE","","","","","","","NOT_IDENTIFIABLE","n - kaleō","cities of Boeotia
","",""
"ee9ee1e0-842b-4f4c-97d3-8d7b18c02ac7","Book9.xml","ἀνδρῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::264;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::270","PERSON","","","","","","","","","men (androi)
","",""
"bbd63c45-843c-40e9-892c-c957e6dd6bf0","Book9.xml","γυναικῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::284;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::292","PERSON","","","","","","","","","women (gunaikai)
","",""
"c134a394-cdc3-46da-9b1b-8085ed9bdb47","Book9.xml","Πλαταιεῖς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::300;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::309","PLACE","http://pleiades.stoa.org/places/541063","Plataiai, Kokkla|Plataea","-0750/0640","38.221019","23.273866","settlement","VERIFIED","proxy|ethnic","","",""
"9a51a65c-23fe-45ad-a162-3a76c5154b50","Book9.xml","ἐξ ἀρχῆς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::313;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::321","","","","","","","","","tx: ex archēs","","",""
"d033733b-944f-4814-8efb-b09876fed5f2","Book9.xml","ἐμοὶ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::322;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::326","EVENT","","","","","","","","first-person|Pausanias","","",""
"32774b04-1c98-474a-a5b1-647cbdad37c0","Book9.xml","ὄνομα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::352;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::357","","","","","","","","","nx: onoma","","",""
