"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"d1eaeef3-e3b6-483c-ab2f-e283300cb1b1","Book10.xml","Φωκίδος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::11;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::18","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional","","",""
"6841dd87-b46e-4223-9820-4a10e7d535f2","Book10.xml","Τιθορέαν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::34;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::42","PLACE","http://dare.ht.lu.se/places/22817","Tithorea/Neon, Tithorea|Tithorea/Neon","-0550/0640","38.58344","22.66931","settlement","VERIFIED","built|polis","","",""
"f4351a07-490a-4b46-a5da-b7424f991682","Book10.xml","Δελφούς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::47;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::54","PLACE","http://dare.ht.lu.se/places/21949","Delphi/Delphoi, Delphi|Delphi","-0750/2100","38.482289","22.501169","sanctuary,settlement","VERIFIED","built|hieron","","",""
"2dedd3b4-2b35-4750-8c46-25c12a73afca","Book10.xml","Κορινθίου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::131;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::140","PLACE","http://dare.ht.lu.se/places/17070","Corinthus/Korinthos, Korinthos|Akrokorinthos, Akrokorinthos|Akrokorinthos|Corinthus/Korinthos","-0750/2100","37.906045","22.878721","sanctuary,settlement,fort","VERIFIED","male|proxy","","",""
"abb60adf-69c8-4612-a74d-658dea6b9450","Book10.xml","Φώκου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::141;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::146","PERSON","","","","","","","","Q3381352|male|eponym","Phokos s. Ornytion, Corinthian, eponym of Phokis","",""
"42826ee4-5ab8-47aa-b37a-efdfeb401540","Book10.xml","Ὀρνυτίωνος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::151;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::161","PERSON","","","","","","","","Q2031315|mythical|male","Ornytiôn f. Phôkos, of Corinth","",""
"11bfeedd-f609-4f27-85e2-a32e300cc2cb","Book10.xml","ἔτεσι δʼ ὕστερον οὐ πολλοῖς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::163;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::190","","","","","","","","","tx:not many years later","","",""
"87a397f1-e4d1-472a-81ba-a241b6f0bcf8","Book10.xml","ἐφʼ ἡμῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::223;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::231","","","","","","","","","tx:Paus","","",""
"ab87e6e2-3807-4de2-a304-42c7686a8634","Book10.xml","Φωκίδι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::242;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::248","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional","","",""
"633a55d2-2d15-4dab-b570-88d423c5312f","Book10.xml","Αἰγινητῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::250;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::259","PLACE","http://dare.ht.lu.se/places/21936","Aigina, Aigina|Aphaia, Temple of Aphaea|Aegina Ins., Aegina|Aegina (island)|Aigina|Temple of Aphaia on Aegina","-0750/2100","37.74991","23.42372","island,settlement,temple-2","VERIFIED","Aeginetans|proxy","","",""
