11      TINY	tinyint	tinyint(1)
131 	NEWDECIMAL	decimal	decimal(10,4)
2 	    SHORT	smallint	smallint(3)
2    	SHORT	smallint	smallint(6)
2 	    TINY	tinyint	tinyint(1)
2    	TINY	tinyint	tinyint(3)
2 	    TINY	tinyint	tinyint(4)
2 	    YEAR	year	year(4)
202 	LONGLONG	bigint	bigint(11)
202 	STRING	char	char(255)
202 	STRING	char	char(48)
202 	VAR_STRING	varchar	varchar(10)
202 	VAR_STRING	varchar	varchar(100)
202 	VAR_STRING	varchar	varchar(12)
202 	VAR_STRING	varchar	varchar(15)
202 	VAR_STRING	varchar	varchar(150)
202 	VAR_STRING	varchar	varchar(20)
202 	VAR_STRING	varchar	varchar(200)
202 	VAR_STRING	varchar	varchar(250)
202 	VAR_STRING	varchar	varchar(255)
202 	VAR_STRING	varchar	varchar(45)
202 	VAR_STRING	varchar	varchar(48)
202 	VAR_STRING	varchar	varchar(50)
202 	VAR_STRING	varchar	varchar(64)
203 	BLOB	longtext	longtext
203 	BLOB	mediumtext	mediumtext
203 	BLOB	text	text
203 	BLOB	tinytext	tinytext
203 	VAR_STRING	varchar	varchar(1024)
203 	VAR_STRING	varchar	varchar(2048)
204 	BIT	bit	bit(64)
204 	STRING	binary	binary(10)
204 	VAR_STRING	varbinary	varbinary(10)
205 	BLOB	blob	blob
205 	BLOB	longblob	longblob
205 	BLOB	mediumblob	mediumblob
205 	BLOB	tinyblob	tinyblob
3    	INT24	mediumint	mediumint(4)
3 	    LONG	int	int(11)
3    	LONG	int	int(8)
4 	    FLOAT	float	float(10,2)
4    	FLOAT	float	float
5 	    DOUBLE	double	double(10,2)
5    	DOUBLE	double	double
7 	    DATE	date	date
7 	    DATETIME	datetime	datetime
7 	    TIME	time	time(6)
7 	    TIMESTAMP	timestamp	timestamp
