Identifier,Sort_order,"Location","'Date'","Geometry",Type
1.1.1,1,"sail Sounion to Piraeus",165-07-01,"{""type"": ""LineString"", ""coordinates"": [[24.09128309951706, 37.62286473797364], [24.010578478245577, 37.64900995736568], [23.95860484961003, 37.660148389501], [23.92192567457616, 37.667886893826434], [23.766019019846965, 37.79167783865617], [23.619394622136213, 37.92863707673138], [23.61836101632656, 37.93804875610131], [23.632650725432, 37.94069427986004], [23.64209804167382, 37.944617620401615]]}",paraplous
1.1.1,1,"sail Sounion to Piraeus",165-07-01,"{""type"": ""LineString"", ""coordinates"": [[24.09128309951706, 37.62286473797364], [24.010578478245577, 37.64900995736568], [23.95860484961003, 37.660148389501], [23.92192567457616, 37.667886893826434], [23.766019019846965, 37.79167783865617], [23.619394622136213, 37.92863707673138], [23.61836101632656, 37.93804875610131], [23.632650725432, 37.94069427986004], [23.64209804167382, 37.944617620401615]]}","mythic/historic site"
1.1.2,2,Peiraieus/Piraeus,02-07-165,"{""type"": ""Point"", ""coordinates"": [23.644609, 37.937222]}","harbor limen"
1.1.2,2,Peiraieus/Piraeus,02-07-165,"{""type"": ""Point"", ""coordinates"": [23.644609, 37.937222]}","port epineion"
1.1.2,2,Peiraieus/Piraeus,02-07-165,"{""type"": ""Point"", ""coordinates"": [23.644609, 37.937222]}",demos
1.1.3,3,Peiraieus/Piraeus,03-07-165,"{""type"": ""Point"", ""coordinates"": [23.644609, 37.937222]}","harbor limen"
1.1.3,3,Peiraieus/Piraeus,03-07-165,"{""type"": ""Point"", ""coordinates"": [23.644609, 37.937222]}","port epineion"
1.1.3,3,Peiraieus/Piraeus,03-07-165,"{""type"": ""Point"", ""coordinates"": [23.644609, 37.937222]}",demos
1.1.4,4,Phaleron,04-07-165,"{""type"": ""Point"", ""coordinates"": [23.706200000000003, 37.9373]}",demos
1.1.5,5,"road Phaleron to Athens",05-07-165,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.68658880803406, 37.94037408093416], [23.72920614293062, 37.969424204333635]]}]}","road hodos"
1.2.1,6,"road Phaleron to Athens",06-07-165,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.68658880803406, 37.94037408093416], [23.72920614293062, 37.969424204333635]]}]}","road hodos"
1.2.2,7,"road Piraeus to Athens",07-07-165,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.651200847204137, 37.94756121516629], [23.652374353234453, 37.94839046164596], [23.665291521796778, 37.95232527430065], [23.680945107599793, 37.957452975216086], [23.688954934445462, 37.96061626238817], [23.698937244530754, 37.969126334790005], [23.718845998411386, 37.97848892791123]]}]}","road hodos"
1.2.3,8,"road Piraeus to Athens",08-07-165,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.651200847204137, 37.94756121516629], [23.652374353234453, 37.94839046164596], [23.665291521796778, 37.95232527430065], [23.680945107599793, 37.957452975216086], [23.688954934445462, 37.96061626238817], [23.698937244530754, 37.969126334790005], [23.718845998411386, 37.97848892791123]]}]}","road hodos"
1.2.4,9,"Pompeion (Athens)",09-07-165,"{""type"": ""Point"", ""coordinates"": [23.7188, 37.9782]}",building
