Identifier,Sort_order,Location,'Date',Geometry,Type
"1.1.1",1,"sail Sounion to Piraeus","165-07-01","{""type"": ""LineString"", ""coordinates"": [[24.09128309951706, 37.62286473797364], [24.010578478245577, 37.64900995736568], [23.95860484961003, 37.660148389501], [23.92192567457616, 37.667886893826434], [23.766019019846965, 37.79167783865617], [23.619394622136213, 37.92863707673138], [23.61836101632656, 37.93804875610131], [23.632650725432, 37.94069427986004], [23.64209804167382, 37.944617620401615]]}","mythic/historic site"
"1.35.1",236,"sail Sounion to Piraeus","21-02-166","{""type"": ""LineString"", ""coordinates"": [[24.09128309951706, 37.62286473797364], [24.010578478245577, 37.64900995736568], [23.95860484961003, 37.660148389501], [23.92192567457616, 37.667886893826434], [23.766019019846965, 37.79167783865617], [23.619394622136213, 37.92863707673138], [23.61836101632656, 37.93804875610131], [23.632650725432, 37.94069427986004], [23.64209804167382, 37.944617620401615]]}","mythic/historic site"
"1.3.5",16,"Bouleuterion (Athens Agora)","16-07-165","{""type"": ""Point"", ""coordinates"": [23.721800000000005, 37.975183]}","mythic/historic site"
"1.4.1",17,"Bouleuterion (Athens Agora)","17-07-165","{""type"": ""Point"", ""coordinates"": [23.721800000000005, 37.975183]}","mythic/historic site"
"1.4.2",18,"Bouleuterion (Athens Agora)","18-07-165","{""type"": ""Point"", ""coordinates"": [23.721800000000005, 37.975183]}","mythic/historic site"
"1.4.3",19,"Bouleuterion (Athens Agora)","19-07-165","{""type"": ""Point"", ""coordinates"": [23.721800000000005, 37.975183]}","mythic/historic site"
"1.4.4",20,"Bouleuterion (Athens Agora)","20-07-165","{""type"": ""Point"", ""coordinates"": [23.721800000000005, 37.975183]}","mythic/historic site"
"1.4.5",21,"Bouleuterion (Athens Agora)","21-07-165","{""type"": ""Point"", ""coordinates"": [23.721800000000005, 37.975183]}","mythic/historic site"
"1.4.6",22,"Bouleuterion (Athens Agora)","22-07-165","{""type"": ""Point"", ""coordinates"": [23.721800000000005, 37.975183]}","mythic/historic site"
"1.5.2",24,"Monument of the Eponymous Heroes in Agora of Athens","24-07-165","{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
"1.5.3",25,"Monument of the Eponymous Heroes in Agora of Athens","25-07-165","{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
"1.5.4",26,"Monument of the Eponymous Heroes in Agora of Athens","26-07-165","{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
"1.5.5",27,"Monument of the Eponymous Heroes in Agora of Athens","27-07-165","{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
"1.6.1",28,"Monument of the Eponymous Heroes in Agora of Athens","28-07-165","{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
"1.6.2",29,"Monument of the Eponymous Heroes in Agora of Athens","29-07-165","{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
"1.6.3",30,"Monument of the Eponymous Heroes in Agora of Athens","30-07-165","{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
"1.6.4",31,"Monument of the Eponymous Heroes in Agora of Athens","31-07-165","{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
