PlaceID,Lat,Lon,Name,Region,Part of,Location,Type,Passages,Wikidata,Manto,ToposText,URL,Pleiades,Notes,Arachne
"1","38.7827","27.784","room within sanctuary in Hierokaisareia, with miraculous ash altar","Asia Minor (Asia)","Sanctuary of Persian Artemis in Hierokaisareia","Sanctuary of Persian Artemis in Hierokaisareia","[""building""]","[""5.27.5""]","","","","","","",""
"2","38.58344","22.66931","Enclosure of Isis near Tithorea","Phokis Bk10","Tithorea/Neon","Tithorea/Neon","[""enclosure"",""hieron""]","[""10.32.13""]","https://wikidata.org/wiki/Q134304611","https://resource.manto.unh.edu/10274623","","","","",""
"3","37.8179","21.93","Sanctuary of Aphrodite Erykine near Psophis","Arcadia Bk8","Arcadia Bk8","","[""hieron""]","[""8.24.6""]","https://wikidata.org/wiki/Q110983687","https://resource.manto.unh.edu/10214291","https://topostext.org/place/378219SAph","","","",""
"4","37.9816","23.7168","Demosion Sema, capturing Mouseion fort, Athens","Athenai Bk1","Demosion Sema war graves, Athens","","[""tomb taphos""]","[""1.29.13""]","","","","https://dipylon-judithbindersourcebook.org/sourcebook/NPP/NPP.html","","",""
"5","38.493128","23.160772","Kopai","Boiotia Bk9","Boiotia Bk9","","[""polisma""]","[""9.24.1"",""9.24.3""]","https://wikidata.org/wiki/Q5168569","","","","https://pleiades.stoa.org/places/540878","",""
"6","37.533","21.599","Samikon/Samia (Triphylia)","Eleia Bk5 Bk6","Triphylia","","[""polis""]","[""5.5.11"",""5.5.3"",""5.5.7"",""5.6.1"",""5.6.2"",""5.6.3"",""6.25.6""]","https://wikidata.org/wiki/Q3558588","","https://topostext.org/place/375216USam","","https://pleiades.stoa.org/places/570653","",""
"7","37.08188","22.42659","Sanctuary of Ge near the Choros at Sparta","Lakonia Bk3","Agora of Sparta","Agora of Sparta","[""hieron""]","[""3.11.9""]","https://wikidata.org/wiki/Q124616593","","","","","",""
"8","38.082","21.73","Altar in grove of Dioskouroi near Pharae","Achaia Bk7","Grove of the Dioskouroi, 15 stades from Pharae","Grove of the Dioskouroi, 15 stades from Pharae","[""altar""]","[""7.22.5""]","","","","","","",""
"9","37.6335","23.1602","Tomb of Melissa not far from Epidauros","Epidauria Bk2","Epidauros","Epidauros","[""tomb mnema""]","[""2.28.8""]","https://wikidata.org/wiki/Q136487509","","","","","",""
"10","38.75","22.4","Lokris Epiknemidia","Hellas (Europe)","Hellas (Europe)","","[""chora/region""]","[""10.13.4""]","https://wikidata.org/wiki/Q130370851","","","","https://pleiades.stoa.org/places/540917","Epicnemedian Locris",""
"11","37.9054","22.8802","Seats around the spring Lerna in Corinth","Corinthia Bk2","Corinth (Corinthia)","Corinth (Corinthia)","[""thronos""]","[""2.4.5""]","","","","","","",""
"12","38.498583","23.448834","Temple of Demeter and the Child in Anthedon","Boiotia Bk9","Anthedon","Anthedon","[""temple""]","[""9.22.5""]","","","","","","",""
"13","38.431063","22.87352","House sacred to Agathos Daimon and Agathe Tyche at Lebadeia","Boiotia Bk9","Lebadeia","Lebadeia","[""building""]","[""9.39.5""]","","","","","","",""
"14","38.3943","21.8388","Sanctuary of Asclepius in Naupaktos","Aitolia region","Naupaktos","","[""Asclepieion"",""hieron""]","[""10.38.13""]","https://wikidata.org/wiki/Q134039989","","https://topostext.org/place/384218SAsk","","","",""
"15","39.9577","26.23873","Ilium","Asia Minor (Asia)","Troas","","[""settlement""]","[""1.1.2"",""1.11.1"",""1.12.1"",""1.12.5"",""1.15.2"",""1.23.4"",""1.28.9"",""1.35.1"",""1.35.4"",""1.37.3"",""1.4.6"",""1.43.1"",""10.1.3"",""10.12.2"",""10.17.6"",""10.25.8"",""10.27.4"",""10.30.8"",""10.31.7"",""10.33.2"",""10.36.10"",""10.38.5"",""2.16.6"",""2.17.3"",""2.18.5"",""2.20.6"",""2.22.2"",""2.23.1"",""2.23.5"",""2.24.2"",""2.24.3"",""2.25.5"",""2.30.10"",""2.32.2"",""2.4.2"",""3.12.6"",""3.22.2"",""3.24.11"",""3.26.10"",""3.4.7"",""3.9.3"",""5.13.4"",""5.13.5"",""5.17.10"",""5.18.3"",""5.22.4"",""5.3.4"",""5.4.7"",""6.25.3"",""7.19.6"",""7.19.9"",""7.24.2"",""7.3.7"",""7.6.3"",""8.1.3"",""8.10.10"",""8.10.9"",""8.12.6"",""8.12.9"",""8.15.6"",""8.15.7"",""8.23.4"",""8.24.10"",""8.28.4"",""8.33.2"",""8.44.4"",""8.45.2"",""8.46.2"",""8.5.2"",""8.5.3"",""8.53.7"",""8.6.1"",""9.18.5"",""9.37.7"",""9.39.3"",""9.4.3"",""9.41.2"",""9.5.14"",""9.5.15""]","https://wikidata.org/wiki/Q22647","","","","https://pleiades.stoa.org/places/550595","Troy, Troia, Ilion",""
"16","38.5348857","22.6222206","Parnassian glen","Phokis Bk10","Parnassus (mountain)","Parnassus (mountain)","[""valley""]","[""10.6.1""]","","","","","","",""
"17","37.38957","22.03143","stoa beside temple of Despoina at Lykosoura","Arcadia Bk8","Sanctuary of Despoina at Lykosoura","Sanctuary of Despoina at Lykosoura","[""stoa""]","[""8.37.2""]","","","","","","",""
"18","38.0347","23.211","Megarid Bk1","Megarid Bk1","Hellas (Europe)","","[""chora/region""]","[""1.19.4"",""1.39.4"",""1.39.5"",""1.40.2"",""1.40.4"",""1.41.8"",""1.42.7"",""1.44.3"",""1.44.4"",""1.5.3""]","https://wikidata.org/wiki/Q645572","","","","https://pleiades.stoa.org/places/570470","territory of Megara",""
