Serial,NAME,Work_CITED,WorkWD,Author,WORK_TYPE,TEXT_EN,Passages,LOGOS_USE,Greek_URL,NARRATIVE_LOC,GEOMETRY
1,"Acusilaus, genealogy on Sparton as father of Myceneus and eponym of Sparta","Acusilaus, genealogy",,Acusilaus,history,,2.16.4,R-paraphrase,,Mycenae,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
2,"Aeschylus, Choephoroi (1050) on Semnai with snakes in their hair","Aeschylus, Choephoroi",Q11688406,Aeschylus (tragedian),tragedy,"CHORUS: And you have done well. Therefore do not yoke your tongue to an ill-omened speech, nor let your lips give vent to evil forebodings, since you have freed the whole realm of Argos by lopping off the heads of two serpents with a fortunate stroke.
ORESTES: Ah, ah! You handmaidens, look at them there: like Gorgons, wrapped in sable garments, entwined with swarming snakes! I can stay no longer.",1.28.6,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0085.tlg006.1st1K-grc1:1043-1053,Semnai Theai shrine at the Areius Pagus,"{""type"": ""Point"", ""coordinates"": [23.72372, 37.97242]}"
3,"Aeschylus, Glaucus Pontius on Glaucus the sea divinity",Glaucus Pontius of Aeschylus,Q86686264,Aeschylus (tragedian),tragedy,lost,9.22.7,R-reference,,Anthedon,"{""type"": ""Point"", ""coordinates"": [23.448834, 38.498583]}"
4,"Aeschylus, Glaucus Pontius on word daulos, shaggy",Glaucus Pontius of Aeschylus,Q86686264,Aeschylus (tragedian),tragedy,lost,10.4.7,R-reference,,Daulis,"{""type"": ""Point"", ""coordinates"": [22.72926, 38.50665]}"
5,"Aeschylus, lost play fr. 168 on the Inachos as an Argive river",lost play of Aeschylus,,Aeschylus (tragedian),tragedy,,8.6.6,R-reference,,road Argolid to Arcadia over Mt. Artemision,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[22.722986929290897, 37.63880433989959], [22.681987076319217, 37.64700602838603], [22.61034522796956, 37.61692874388939], [22.523598170629327, 37.60291130695133], [22.498566681447443, 37.6094075208329], [22.46191342493512, 37.616518696940474], [22.444974976141026, 37.61575511381926], [22.422252666781333, 37.61139163127332], [22.40242228770444, 37.606918795948346], [22.392644809132378, 37.61804583965916]]}]}"
6,"Aeschylus, lost play on Egyptian account of Artemis as daughter of Demeter",lost play of Aeschylus,,Aeschylus (tragedian),tragedy,,8.37.6,R-reference,,Sanctuary of Despoina at Lykosoura,"{""type"": ""Point"", ""coordinates"": [22.03143, 37.38957]}"
7,"Aeschylus, Seven Against Thebes (passim) as Argive source",Aeschylus' Seven Against Thebes,Q506546,Aeschylus (tragedian),tragedy,,2.20.5,R-reference,,Argos (Argolid),"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
8,"Aeschylus, statement on his vision with Dionysus",Aeschylus' account of learning to write tragedies,,Aeschylus (tragedian),history,lost,1.21.2,R-paraphrase,,Theater of Dionysus Eleuthereus,"{""type"": ""Point"", ""coordinates"": [23.72775, 37.970278]}"
9,Aeschylus's obituary on the battle of Marathon,Aeschylus's obituary,,Aeschylus (tragedian),elegiac poem,lost,1.14.5,R-paraphrase,,"Temple of Eukleia, Athens","{""type"": ""Point"", ""coordinates"": [23.726464, 37.971687]}"
10,"Alcaeus, Proemium to Apollo: citing Castalia as daughter of Cephisus",Proemium to Apollo by Alcaeus,,Alcaeus of Mytilene,hymn,lost,10.8.10,R-paraphrase,,Castalian spring,"{""type"": ""Point"", ""coordinates"": [22.505528, 38.483082]}"
