person,personLabel,genderLabel,personDescription,entityLabel,citizen,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q97486531,A. Platorius Nepos Calpurnianus Marcellus,male,c. 98 - s.m. s. II,human,http://www.wikidata.org/entity/Q1747689,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q55619204,Abante,male,guerrero troyano,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305524,Abantidas,male,Tyrant of the Greek city-state of Sicyon from 264 to 252 BC,human,http://www.wikidata.org/entity/Q368628,-0250-01-01T00:00:00Z,Paseas,,,https://en.wikipedia.org/wiki/Abantidas,http://www.wikidata.org/entity/Q715208,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q279782,Abarbarea,female,water deity,naiad,,,Aesepus,,,https://en.wikipedia.org/wiki/Abarbarea_of_Troad,http://www.wikidata.org/entity/Q21548009,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q305566,Abaris,male,from Cyzicus, killed by Jason in Greek mythology,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305568,Abaris,male,mythical character from Caucasus,mythological Greek character,,,,,Caucasus,,,,http://www.wikidata.org/entity/Q18869,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305567,Abaris the Hyperborean,male,semi-legendary Greek physician, magician, and prophet of Apollo,human,http://www.wikidata.org/entity/Q243333,,,,,https://en.wikipedia.org/wiki/Abaris_the_Hyperborean,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q15781282,Abartus,male,mythical king of Phocaea,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2190860,Abas,male,one of Diomedes' companions,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q38098392,Abas,male,mythical character, defender of Thebes against the Seven,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305608,Abas,male,ancient Greek historian,human,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305603,Abas,male,Etruscan figure in Roman mythology,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305603,Abas,male,Etruscan figure in Roman mythology,mythical character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305604,Abas,male,mythical character, companion of Perseus,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305616,Abas,male,mythical character, trojan companion of Aeneas,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3603128,Abas,male,mythological character, son of Metaneira,mythological Greek character,,,Celeus,Metanira,,,http://www.wikidata.org/entity/Q1141300,http://www.wikidata.org/entity/Q1469456,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305609,Abas,male,mythological character, son of Eurydamas,mythological Greek character,,,Eurydamas,,,,http://www.wikidata.org/entity/Q61030727,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305611,Abas,male,mythological character, one of the Centaurs,mythological Greek character,,,Ixion,,,,http://www.wikidata.org/entity/Q271891,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305611,Abas,male,mythological character, one of the Centaurs,centaur,,,Ixion,,,,http://www.wikidata.org/entity/Q271891,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305607,Abas,male,mythical character, son of Lynceus,mythological Greek character,,,Lynceus,Hypermnestra,,https://en.wikipedia.org/wiki/Abas_(son_of_Lynceus),http://www.wikidata.org/entity/Q7877819,http://www.wikidata.org/entity/Q472784,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305613,Abas,male,mythical character, son of Melampus,mythological Greek character,,,Melampus,,,,http://www.wikidata.org/entity/Q602258,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305614,Abas,male,mythical character, son of Poseidon,mythological Greek character,,,Poseidon,Arethusa,,,http://www.wikidata.org/entity/Q41127,http://www.wikidata.org/entity/Q643456,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2359586,Abasgoi,,ancient tribe of Caucasian Iberia,isolated human group,,,,,,https://en.wikipedia.org/wiki/Abasgoi,,,,,,
http://www.wikidata.org/entity/Q4663560,Abassad,male,Egyptian bishop and martyr,human,http://www.wikidata.org/entity/Q1747689,,,,,https://en.wikipedia.org/wiki/Abassad,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q122035397,Abdera,female,Greek mythical character, sister of Diomedes, eponymous hero of Abdera,eponymous hero,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q122035397,Abdera,female,Greek mythical character, sister of Diomedes, eponymous hero of Abdera,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q15634657,Abdera,female,mythical daughter of Tydeus,mythological Greek character,,,Tydeus,Deipyle,,,http://www.wikidata.org/entity/Q250506,http://www.wikidata.org/entity/Q279566,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q308055,Abderus,male,son of Hermes in Greek mythology,mythological Greek character,,,Erimus,,,https://en.wikipedia.org/wiki/Abderus,http://www.wikidata.org/entity/Q60588819,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q308055,Abderus,male,son of Hermes in Greek mythology,mythological Greek character,,,Hermes,,,https://en.wikipedia.org/wiki/Abderus,http://www.wikidata.org/entity/Q41484,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q308055,Abderus,male,son of Hermes in Greek mythology,mythological Greek character,,,Menoetius,,,https://en.wikipedia.org/wiki/Abderus,http://www.wikidata.org/entity/Q1920680,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q308055,Abderus,male,son of Hermes in Greek mythology,mythological Greek character,,,Poseidon,,,https://en.wikipedia.org/wiki/Abderus,http://www.wikidata.org/entity/Q41127,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q308320,Abdon,male,male human biblical figure in Judges 12:13-15, judge of Israel,human biblical figure,,,,,Pirathon,https://en.wikipedia.org/wiki/Abdon_(Judges),,,http://www.wikidata.org/entity/Q2946726,http://www.wikidata.org/entity/Q6581097,,
