person,personLabel,genderLabel,personDescription,entityLabel,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q16515491,Aμφιδάμας,άνδρας,"Greek mythical character, Argonaut, son of Aleus",πρόσωπο της ελληνικής μυθολογίας,,Άλεος,,,,http://www.wikidata.org/entity/Q1536527,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q26690189,Aντινόη,γυναίκα,"Greek mythical character, daughter of Pelias",πρόσωπο της ελληνικής μυθολογίας,,Πελίας,,,,http://www.wikidata.org/entity/Q182439,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q704966,Aρσινόη,γυναίκα,"κόρη του Φηγέα, σύζυγος του Αλκμαίονα",πρόσωπο της ελληνικής μυθολογίας,,Φηγέας,,,,http://www.wikidata.org/entity/Q2329005,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q305567,Άβαρις,άνδρας,"semi-legendary Greek physician, magician, and prophet of Apollo",πρόσωπο της ελληνικής μυθολογίας,,,,,https://en.wikipedia.org/wiki/Abaris_the_Hyperborean,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q305567,Άβαρις,άνδρας,"semi-legendary Greek physician, magician, and prophet of Apollo",άνθρωπος που μπορεί να είναι φανταστικός,,,,,https://en.wikipedia.org/wiki/Abaris_the_Hyperborean,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q15781282,Άβαρτος,άνδρας,mythical king of Phocaea,πρόσωπο της ελληνικής μυθολογίας,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q305613,Άβας,άνδρας,"mythical character, son of Melampus",πρόσωπο της ελληνικής μυθολογίας,,Μελάμποδας,,,,http://www.wikidata.org/entity/Q602258,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107043636,Άγαλμα της Ήρας με τις Χάριτες και τις Ώρες,,αρχαίο γλυπτό στο Άργος όπως εθεάθει από τον Παυσανία το 165 π.Χ.,άγαλμα,,,,,,,,,,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q394350,Άγναπτος,άνδρας,αρχαίος Έλληνας αρχιτέκτονας,άνθρωπος,,,,,https://en.wikipedia.org/wiki/Agnaptus,,,,http://www.wikidata.org/entity/Q6581097,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q114315369,Άγνωστοι Θεοί,,Greek divinities worshipped in Phaleron and elsewhere,θεότητα της ελληνικής μυθολογίας,,,,,,,,,,
http://www.wikidata.org/entity/Q396862,Άγριος,άνδρας,γιος του Πορθάονα,πρόσωπο της ελληνικής μυθολογίας,,Πορθάονας,Ευρύτη,,https://en.wikipedia.org/wiki/Agrius_(son_of_Porthaon),http://www.wikidata.org/entity/Q1178970,http://www.wikidata.org/entity/Q15838272,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q115379458,Άκεσις,άνδρας,αρχαία θεότητα,θεότητα της ελληνικής μυθολογίας,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q12647288,Άκρατος,άνδρας,daemon associated with Dionysus or Apollo in Athens,θεότητα της ελληνικής μυθολογίας,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q2823758,Άκτωρ,άνδρας,γιος του Αζέα,πρόσωπο της ελληνικής μυθολογίας,,Αζέας,,,,http://www.wikidata.org/entity/Q12873065,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q1546368,Άλκανδρος,άνδρας,son of Trophonius in Greek mythology,πρόσωπο της ελληνικής μυθολογίας,,Τροφώνιος,,,,http://www.wikidata.org/entity/Q1166183,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q21296346,Άλκετος ο Κλείτωρας,άνδρας,αρχαίος Έλληνας ολυμπιονίκης,άνθρωπος,,,,Κλείτωρ,,,,http://www.wikidata.org/entity/Q2537130,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q16327534,Άλωση της Τροίας,,έργο του Πολυγνώτου,έργο ζωγραφικής,,,,,,,,,,
http://www.wikidata.org/entity/Q4064731,Άνακες,άνδρας,αρχαίες ελληνικές θεότητες,ομάδα μυθικών χαρακτήρων από την αρχαία Ελλάδα,,,,,https://en.wikipedia.org/wiki/Anakes,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q16821458,Άναξις,άνδρας,"Greek mythical character, son of Castor an Hilaeira",πρόσωπο της ελληνικής μυθολογίας,,Κάστωρ,Ιλάειρα,,https://en.wikipedia.org/wiki/Anaxias,http://www.wikidata.org/entity/Q11294144,http://www.wikidata.org/entity/Q383960,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q20666053,Άνοχος ο Ταραντίνος,άνδρας,ancient Olympic victor,άνθρωπος,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q22696413,Άντιφος,άνδρας,γιος του Γανύκτορα,πρόσωπο της ελληνικής μυθολογίας,,Γανύκτορας,,,,http://www.wikidata.org/entity/Q22696406,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q115379640,Άορις,άνδρας,mythical son of Aras,πρόσωπο της ελληνικής μυθολογίας,,Άρας,,,,http://www.wikidata.org/entity/Q4784290,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q11906344,Άρακος (ναύαρχος),άνδρας,late 5th/early 4th-century BC Spartan military commander,άνθρωπος,-0400-01-01T00:00:00Z,,,Αρχαία Σπάρτη,https://en.wikipedia.org/wiki/Aracus_(navarch),,,http://www.wikidata.org/entity/Q5690,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q3621840,Άρδαλος,άνδρας,πρόσωπο της ελληνικής μυθολογίας,πρόσωπο της ελληνικής μυθολογίας,,Ήφαιστος,,,https://en.wikipedia.org/wiki/Ardalus,http://www.wikidata.org/entity/Q44384,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q640203,Άρδης,άνδρας,twenty-seventh king of Lydia,άνθρωπος,-0628-01-01T00:00:00Z,Γύγης,,,https://en.wikipedia.org/wiki/Ardys_of_Lydia,http://www.wikidata.org/entity/Q312537,,,http://www.wikidata.org/entity/Q6581097,
