Wikidata,PersonInWikidata,PersonInPausanias,Description,Entity,Wikipedia,FatherLabel,FatherURL,MotherLabel,MotherURL
http://www.wikidata.org/entity/Q97486531,"A. Platorius Nepos Calpurnianus Marcellus",,"c. 98 - s.m. s. II",human,,,,,
http://www.wikidata.org/entity/Q55619204,Abante,,"guerrero troyano","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q305524,Abantidas,Ἀβαντίδας,"Tyrant of the Greek city-state of Sicyon from 264 to 252 BC",human,https://en.wikipedia.org/wiki/Abantidas,Paseas,http://www.wikidata.org/entity/Q715208,,
http://www.wikidata.org/entity/Q279782,Abarbarea,,"water deity",naiad,https://en.wikipedia.org/wiki/Abarbarea_of_Troad,Aesepus,http://www.wikidata.org/entity/Q21548009,,
http://www.wikidata.org/entity/Q305566,Abaris,,"from Cyzicus, killed by Jason in Greek mythology","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q305568,Abaris,,"mythical character from Caucasus","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q305567,"Abaris the Hyperborean",Ἄβαριν,"semi-legendary Greek physician, magician, and prophet of Apollo",human,https://en.wikipedia.org/wiki/Abaris_the_Hyperborean,,,,
http://www.wikidata.org/entity/Q15781282,Abartus,Ἄβαρτον,"mythical king of Phocaea","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q2190860,Abas,,"one of Diomedes' companions","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q305603,Abas,,"Etruscan figure in Roman mythology","mythical character",,,,,
http://www.wikidata.org/entity/Q305603,Abas,,"Etruscan figure in Roman mythology","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q305604,Abas,,"mythical character, companion of Perseus","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q305607,Abas,Ἄβαντός,"mythical character, son of Lynceus","mythological Greek character",https://en.wikipedia.org/wiki/Abas_(son_of_Lynceus),Lynceus,http://www.wikidata.org/entity/Q7877819,Hypermnestra,http://www.wikidata.org/entity/Q472784
http://www.wikidata.org/entity/Q305608,Abas,,"ancient Greek historian",human,,,,,
http://www.wikidata.org/entity/Q305609,Abas,,"mythological character, son of Eurydamas","mythological Greek character",,Eurydamas,http://www.wikidata.org/entity/Q61030727,,
http://www.wikidata.org/entity/Q305611,Abas,,"mythological character, one of the Centaurs",centaur,,Ixion,http://www.wikidata.org/entity/Q271891,,
http://www.wikidata.org/entity/Q305611,Abas,,"mythological character, one of the Centaurs","mythological Greek character",,Ixion,http://www.wikidata.org/entity/Q271891,,
http://www.wikidata.org/entity/Q305613,Abas,Ἄβαντος,"mythical character, son of Melampus","mythological Greek character",,Melampus,http://www.wikidata.org/entity/Q602258,,
http://www.wikidata.org/entity/Q305614,Abas,,"mythical character, son of Poseidon","mythological Greek character",,Poseidon,http://www.wikidata.org/entity/Q41127,Arethusa,http://www.wikidata.org/entity/Q643456
