name,inhabitedSince,inhabitedUntil,name_local,civilizations,wikipedia,wikidata,link,desc,name.no,name.id,name.eo,name.bg,name.be,old_name,religion,denomination,name.ckb,description.hu,wiki.en,name.zh,inscription,historic.period,name.ka,description.de,name.ko,name.he3,url,access,layer,addr.city,name.ku,alt_name.ar,name.la,alt_name.el,website1,whc.inscription_date,whc.criteria,ref.whc,designation,name.ml,name.he1,name.ro,image_2,image_1,reference,name.hy,man_made,description.en,place,name.vi,name.tr,name.sl,name.pl,name.nl,name.mn,name.ja,name.fi,int_name,mapillary,alt_name.he,alt_name.en,name.hu,heritage,name.lt,historic.era,old_name.fr,image6,image5,image4,image2,wikipedia.en,start_date,site_type,short_name.cs,name.uk,name.sr,name.pt,name.it,name.es,name.ca,name.br,historic.civilization,alt_name.cs,name.en6,name.en5,name.he2,website,name.cs,name.en4,name.en3,natural,ele,name.ar1,name.en2,name.en1,image3,image1,image,description.he,description,name.fr,name.ar,name.he,name.en,name.ru,name.de,is_in,name.el,alt_name,name.pa,name.mr,name.kn,name.hi,name.gu,name.bn,wpt_description
Aperlae,,,,,tr:Aperlae,Q618234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἄπερλαι,Aperlai,,,,,,,
Tomb of the Kings,,,,,en:Tombs of the Kings (Paphos),Q1796353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Царские гробницы,Paphos - Tomb of the Kings - Königsgräber von Nea Paphos,Paphos,,,,,,,,,
Sobesos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeological Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paphos,,,,,,,,,
תל שחרית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל שחרית,Tel Shaharit,,,,,,,,,,,,
תל חציר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تل حصير,תל חציר,Tel Hazir,,,,,,,,,,,,
תל זית,,,,,,Q938712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Zayit,,תל זית,Tel Zayit,,,,,,,,,,,,
תל קשיש,,,,,he:תל קשיש,Q4220548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c0/IHM_תל_קשיש_5.jpeg,https://upload.wikimedia.org/wikipedia/commons/e/e5/IHM_תל_קשיש.jpeg,https://upload.wikimedia.org/wikipedia/commons/c/cd/IHM_תל_קשיש_4.jpeg,"תל קשיש, לידו מחלף תל קשיש הנקרא על שמו. ההגדה מספרת שעל התל הזה הרג אליהו הנביא את 40 נביאי הבעל ודמם נשטף אל מי הקישון אשר למרגלותיו, מפסגת הכרמל משקיף על התל מנזר המוחרקה, משם עלה אליהו הנביא השמיימה במרכבות סוסי אש.","תל קשיש, לידו מחלף תל קשיש הנקרא על שמו. ההגדה מספרת שעל התל הזה הרג אליהו הנביא את 40 נביאי הבעל ודמם נשטף אל מי הקישון אשר למרגלותיו, מפסגת הכרמל משקיף על התל מנזר המוחרקה, משם עלה אליהו הנביא השמיימה במרכבות סוסי אש.",Tell Kashish,,תל קשיש,Tel Qashish,,,,,,,,,,,,
תל זהבך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל זהבך,Tel Zehavi,,,,,,,,,,,,
תל שוקק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל שוקק,Tel Shoqeq,,,,,,,,,,,,
תל קדש,,,,,en:Kedesh,Q2585161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qedesh Naftali,Qadas,,,,,,Tel Qadesh,,תל קדש,Tel Kedesh,,,,,,,,,,,,
תל ראש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تل راش,,,,,,,,,تل رأس,תל ראש,Tel Rosh,,,,,,,,,,,,
תל ישוע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell Sawa,,,,,,,,תל ישוע,Tel Yeshua,,,,,,,,,,,,
Sharayi`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharai,Qasr Sharayi',,,,,,,,,Sharayi`,,,,,,,,,,,,
