Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
22.096,37.533,"mountainous area between Thyraion and Hypsous","Arcadia Bk8","Arcadia Bk8",['chora'],['8.35.7'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.374,37.89,"Temple of Hades at Elis","Eleia Bk5 Bk6","Sanctuary of Hades at Elis",['naos'],['6.25.2'],"Sanctuary of Hades at Elis",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.9195,37.1779,"Gymnasium of Messene","Messenia Bk4","Messene (Messenia)",['gymnasion'],['4.32.1'],"Messene (Messenia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.004,37.461,"Strouthos? cape (Argolid)","Argolid Bk2","Argolid Bk2",['akra'],['2.36.3'],NULL,https://pleiades.stoa.org/places/570694,https://topostext.org/place/373233LStr,NULL,NULL,NULL,NULL,NULL
22.42338,37.08265,"Athena Chalkioikos sanctuary on acropolis of Sparta","Lakonia Bk3","Acropolis of Sparta",['hieron'],"['10.5.11','3.17.2','3.17.7','4.15.5']",NULL,NULL,https://topostext.org/place/371224SACh,https://wikidata.org/wiki/Q57302774,https://resource.manto.unh.edu/10150378,NULL,NULL,NULL
23.3484,37.5033,"Theater of Troizen","Troizenia Bk2","Troizen (Troizenia)",['theatron'],['2.31.4'],"Troizen (Troizenia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.45,37.7,"Hollow Elis","Eleia Bk5 Bk6","Eleia Bk5 Bk6",['chora'],['5.16.6'],NULL,NULL,NULL,https://wikidata.org/wiki/Q11955829,NULL,"Coele Elis",NULL,NULL
22.4237,37.0821,"Sanctuary of Diktynna in Sparta","Lakonia Bk3",Sparta,['hieron'],['3.12.8'],Sparta,NULL,NULL,https://wikidata.org/wiki/Q124616433,NULL,NULL,NULL,NULL
21.863791,37.613569,"Temple of Dionysos Auxites at Heraia","Arcadia Bk8","Heraia (Arcadia)",['naos'],['8.26.1'],"Heraia (Arcadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.73,38.082,"Altar at oracle in Pharae agora","Achaia Bk7","agora of Pharae",['bomos'],['7.22.3'],"agora of Pharae",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.63754,37.64094,"Sanctuary of Demeter Chamyne at Olympia","Eleia Bk5 Bk6",Olympia,['hieron'],['6.21.1'],NULL,https://pleiades.stoa.org/places/469444289,https://topostext.org/place/376216SDCh,https://wikidata.org/wiki/Q97446599,https://resource.manto.unh.edu/10268821,NULL,NULL,NULL
22.4237,37.0821,"Heroon of Oiolykos son of Thera by Poikile clubhouse at Sparta","Lakonia Bk3",Sparta,['heroon'],['3.15.8'],Sparta,NULL,NULL,https://wikidata.org/wiki/Q124616574,NULL,NULL,NULL,NULL
22.5152,38.4915,"Lykoreia (Phokis)","Phokis Bk10","Phokis Bk10",['settlement'],"['10.6.2','10.6.3','4.34.9']",NULL,NULL,https://topostext.org/place/385225ULyk,https://wikidata.org/wiki/Q5975192,NULL,Lycoreia,NULL,NULL
23.3178,38.3191,"sanctuary of Lysian Dionysos in Thebes near theater","Boiotia Bk9","Thebes (Boeotia)",['hieron'],['9.16.6'],"Thebes (Boeotia)",NULL,NULL,https://wikidata.org/wiki/Q134037823,NULL,"santuary of Dionysus Lysius",NULL,NULL
22.45,37.625,"Dance of Maira at Argon Pedion","Arcadia Bk8","Argon Pedion",['chorion'],['8.8.1'],"Argon Pedion",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.4203,37.4555,"Temple of Athena Alea at Tegea","Arcadia Bk8","Athena Alea sanctuary near Tegea",['naos'],['8.47.2'],"Athena Alea sanctuary near Tegea",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.30245,39.50051,Krannon/Ephyra,"Hellas (Europe)",Thessalia,['polis'],"['10.3.4','5.8.8']",NULL,https://pleiades.stoa.org/places/540886,NULL,https://wikidata.org/wiki/Q56427665,NULL,NULL,NULL,NULL
22.429,37.464,"Phylaktris hill near Tegea","Arcadia Bk8","Tegea (Arkadia)",['lophos'],['8.48.4'],"Tegea (Arkadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.136,36.43,"Cave near sea at Nymphaion in Lakonia","Lakonia Bk3","Nymphaion (Lakonia)",['spelaion'],['3.23.2'],"Nymphaion (Lakonia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.956902,38.392613,"Sanctuary of Hera below agora of Korôneia","Boiotia Bk9","Koroneia (Boeotia)",['hieron'],['9.34.3'],"Koroneia (Boeotia)",NULL,NULL,https://wikidata.org/wiki/Q134037607,NULL,NULL,NULL,NULL
23.42372,37.74991,"Aiakeion in Aigina","Aigina island Bk2","Aigina polity","['hieron','peribolos']",['2.29.6'],"Aigina polity",NULL,NULL,https://wikidata.org/wiki/Q403346,NULL,NULL,NULL,NULL
22.17928,36.92565,"Sanctuary of Klaia at Mt. Kalathion","Lakonia Bk3","Kalathion (mountain)",['hieron'],['3.26.11'],"Kalathion (mountain)",NULL,NULL,https://wikidata.org/wiki/Q124616485,NULL,NULL,NULL,NULL
23.717999999999996,37.981,"Tomb of Nikias son of Nikomedes, Athens","Athenai Bk1","Athenai Bk1",['taphos'],['1.29.15'],NULL,NULL,https://topostext.org/binder/JB2206,NULL,NULL,NULL,NULL,NULL
23.026,36.731,"Epidaurus Limera (Laconia)","Lakonia Bk3","Lakonia Bk3",['polis'],"['3.21.7','3.23.10','3.23.6','3.24.1']",NULL,https://pleiades.stoa.org/places/570229,https://topostext.org/place/367230UEpi,https://wikidata.org/wiki/Q12877135,NULL,"Epidauros Limera",NULL,NULL
22.663,38.4296,"level place Ambrossos-Antikyra road, 2 stadia uphill from Ambrossos","Phokis Bk10","Phokis Bk10",['chorion'],['10.36.5'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.123,37.428,"Aminios (river)","Arcadia Bk8","Arcadia Bk8",['potamos'],['8.29.5'],NULL,https://pleiades.stoa.org/places/570070,NULL,NULL,NULL,NULL,NULL,NULL
