Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
21.45,37.7,"Hollow Elis","Eleia Bk5 Bk6","Eleia Bk5 Bk6",['chora'],['5.16.6'],NULL,NULL,NULL,https://wikidata.org/wiki/Q11955829,NULL,"Coele Elis",NULL,NULL
22.30245,39.50051,Krannon/Ephyra,"Hellas (Europe)",Thessalia,['polis'],"['10.3.4','5.8.8']",NULL,https://pleiades.stoa.org/places/540886,NULL,https://wikidata.org/wiki/Q56427665,NULL,NULL,NULL,NULL
23.58944,38.46276,Euripos,"Euboea (island)","Euboian Gulf",['settlement'],"['1.23.3','1.38.1','2.24.6','5.23.2','6.13.8','7.7.6','9.12.6','9.19.6','9.22.5','9.31.3']",NULL,https://pleiades.stoa.org/places/540783,NULL,https://wikidata.org/wiki/Q1137741,NULL,NULL,NULL,NULL
21.630126,37.637849,"Altar of Apollo Pythios at Olympia","Eleia Bk5 Bk6",Olympia,['bomos'],['5.15.4'],Olympia,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.8,37.2,"Messenia Bk4",NULL,Peloponnesos,['chora'],"['2.18.7','2.18.8','3.1.4','3.13.1','3.14.4','3.2.6','3.26.6','3.26.7','3.3.2','3.7.5','4.1.2','4.12.1','4.12.7','4.14.3','4.14.4','4.14.7','4.15.8','4.16.9','4.17.1','4.18.2','4.19.4','4.19.5','4.2.5','4.20.2','4.21.1','4.23.1','4.24.4','4.28.2','4.29.11','4.3.10','4.3.2','4.3.3','4.3.4','4.3.5','4.30.1','4.31.1','4.34.9','4.36.7','4.4.2','4.4.3','4.5.8','4.5.9','4.6.4','4.7.1','4.7.4','5.6.3','8.1.1','8.1.2','8.27.15','8.35.2']",NULL,https://pleiades.stoa.org/places/570480,https://topostext.org/place/372218RMes,https://wikidata.org/wiki/Q1247159,NULL,NULL,NULL,NULL
21.6336,37.637,"pillar at the starting point of the horse tracks, Olympia","Eleia Bk5 Bk6","Hippodrome (Olympia)",['kion'],['5.15.5'],"Hippodrome (Olympia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
27.52785,37.8507,"Magnesia ad Maeandrum/Leukophrys","Asia Minor (Asia)","Ionia (region)",['settlement'],"['1.1.2','5.21.10','6.17.3']",NULL,https://pleiades.stoa.org/places/599778,NULL,https://wikidata.org/wiki/Q1432674,NULL,NULL,NULL,NULL
22.0453,37.5399,"Asclepius sanctuary and temple of Gortys in Arcadia","Arcadia Bk8",Gortys,"['Asclepieion','naos']","['5.7.1','8.28.1']",NULL,NULL,https://topostext.org/place/375220SAsk,NULL,NULL,NULL,NULL,NULL
21.62932,37.63923,"Altar of Pan at Olympia in Prytaneion on right of entrance","Eleia Bk5 Bk6","Prytaneion (Olympia)",['bomos'],['5.15.9'],"Prytaneion (Olympia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.026,37.527,"Gortynios/Lousios river (Arkadia)","Arcadia Bk8","Arcadia Bk8",['potamos'],"['5.7.1','8.28.2','8.28.3','8.4.8']",NULL,https://pleiades.stoa.org/places/570266,https://topostext.org/place/375220WGor,https://wikidata.org/wiki/Q1872337,NULL,NULL,NULL,NULL
