BookID,Place,Links,Lat,Lon,Type,Description
9.1.1,Ἀθηναίοις,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement," - "
9.1.1,Ἀσωποῦ,http://pleiades.stoa.org/places/540672,38.300198333333334,23.581173000000003,river," - physical|potamos|eponym|Q622781|t - heroic age|f - they consider|personAsôpos river god, father of Plataia"
9.1.1,Ἀττικῆς,http://pleiades.stoa.org/places/579888,38.051998833333336,23.818991099999998,region," - "
9.1.1,Βοιωτία,http://pleiades.stoa.org/places/540689,38.34668803333333,23.184677533333332,region," - "
9.1.1,Βοιωτοὶ,http://pleiades.stoa.org/places/540689,38.34668803333333,23.184677533333332,region," - "
9.1.1,Ἐλευθερῶν,http://pleiades.stoa.org/places/540756,38.17934,23.37572,"settlement,fort"," - "
9.1.1,Πλαταιεῖς,http://pleiades.stoa.org/places/541063,38.221019,23.273866,settlement," - "
9.1.2,Ἑλλάδος,http://pleiades.stoa.org/places/1001896,37.5,22.5,province," - "
9.1.2,ὄρει,http://pleiades.stoa.org/places/540714,38.1850025,23.2505528,mountain," - physical|oros|t - heroic age|n - onoma|f - they say|eponymorei, the mountain named for Kithairôn"
9.1.2,Πλαταιεῖς,http://pleiades.stoa.org/places/541063,38.221019,23.273866,settlement," - "
9.1.2,πόλις,http://pleiades.stoa.org/places/541063,38.221019,23.273866,settlement," - built|settlement|n - kaleō|eponympolis"
9.1.2,ποταμοῦ,http://pleiades.stoa.org/places/540672,38.300198333333334,23.581173000000003,river," - physical|potamos|Q622781|f - narrator|x - notriver god Asopus"
9.1.2,ποταμῷ,http://pleiades.stoa.org/places/540672,38.300198333333334,23.581173000000003,river," - physical|potamos|t - heroic age|f - they say|eponymAsôpos river"
9.1.3,Ἀθηναῖοι,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement," - "
9.1.3,Ἀθηναίων,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement," - "
9.1.3,ἀναστάτους,http://pleiades.stoa.org/places/541063,38.221019,23.273866,settlement," - "
9.1.3,Βοιωτία,http://pleiades.stoa.org/places/540689,38.34668803333333,23.184677533333332,region," - "
9.1.3,ἐσβῆναι,http://pleiades.stoa.org/places/541063,38.221019,23.273866,settlement," - "
