Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
23.3178,38.3191,"sanctuary of Lysian Dionysos in Thebes near theater","Boiotia Bk9","Thebes (Boeotia)",['hieron'],['9.16.6'],"Thebes (Boeotia)",NULL,NULL,https://wikidata.org/wiki/Q134037823,NULL,"santuary of Dionysus Lysius",NULL,NULL
22.956902,38.392613,"Sanctuary of Hera below agora of Korôneia","Boiotia Bk9","Koroneia (Boeotia)",['hieron'],['9.34.3'],"Koroneia (Boeotia)",NULL,NULL,https://wikidata.org/wiki/Q134037607,NULL,NULL,NULL,NULL
23.58944,38.46276,Euripos,"Euboea (island)","Euboian Gulf",['settlement'],"['1.23.3','1.38.1','2.24.6','5.23.2','6.13.8','7.7.6','9.12.6','9.19.6','9.22.5','9.31.3']",NULL,https://pleiades.stoa.org/places/540783,NULL,https://wikidata.org/wiki/Q1137741,NULL,NULL,NULL,NULL
23.110281,38.20809,"Mountain by the sea west of Kreusis","Boiotia Bk9",Kreusis,['oros'],['9.32.2'],Kreusis,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.288,38.566,"mountains above Larymna with wild pigs","Boiotia Bk9","Boiotia Bk9",['oros'],['9.23.7'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.103304,38.55756,Hyettos,"Boiotia Bk9","Boiotia Bk9",['kome'],"['9.24.3','9.24.4','9.36.6']",NULL,https://pleiades.stoa.org/places/540823,NULL,https://wikidata.org/wiki/Q12872650,NULL,NULL,NULL,NULL
23.088,38.3787,"Tomb of Lysandros the Lakedaimonian at Haliartos","Boiotia Bk9","Haliartos (Boeotia)",['mnema'],['9.32.5'],"Haliartos (Boeotia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.219541,38.451533,"Temple of Dionysos at Akraiphnion","Boiotia Bk9",Akraiphnion,['naos'],['9.23.5'],Akraiphnion,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8.895951167,40.06802462,"Sardinia (island)","Internum Mare","Internum Mare",['nesos'],"['1.29.5','10.17.1','10.17.10','10.17.11','10.17.13','10.17.2','10.17.3','10.17.4','10.17.5','10.17.6','10.17.8','10.17.9','4.23.5','7.17.3','7.2.2','9.23.1']",NULL,https://pleiades.stoa.org/places/472014,NULL,https://wikidata.org/wiki/Q3760293,NULL,NULL,NULL,NULL
22.9968,38.4128,"Altar of Iodama at Itonian Athena sanctuary, Boeotia","Boiotia Bk9","Athena Itonia sanctuary in Boeotia",['bomos'],['9.34.2'],"Athena Itonia sanctuary in Boeotia",NULL,NULL,NULL,NULL,NULL,NULL,NULL
