File,Anchor,Paragraph
"1.1 - 5.5: approaching Athens", ".1.1", "1.1.1"
"1.1 - 5.5: approaching Athens", ".1.2", "1.1.2"
"1.1 - 5.5: approaching Athens", ".1.3", "1.1.3"
"1.1 - 5.5: approaching Athens", ".1.4", "1.1.4"
"1.1 - 5.5: approaching Athens", ".1.5", "1.1.5"
"1.1 - 5.5: approaching Athens", ".2.1", "1.2.1"
"1.1 - 5.5: approaching Athens", ".2.2", "1.2.2"
"1.1 - 5.5: approaching Athens", ".2.3", "1.2.3"
"1.1 - 5.5: approaching Athens", ".2.4", "1.2.4"
"1.1 - 5.5: approaching Athens", ".2.5", "1.2.5"
"1.1 - 5.5: approaching Athens", ".2.6", "1.2.6"
"1.1 - 5.5: approaching Athens", ".3.1", "1.3.1"
"1.1 - 5.5: approaching Athens", ".3.2", "1.3.2"
"1.1 - 5.5: approaching Athens", ".3.3", "1.3.3"
"1.1 - 5.5: approaching Athens", ".3.4", "1.3.4"
"1.1 - 5.5: approaching Athens", ".3.5", "1.3.5"
"1.1 - 5.5: approaching Athens", ".4.1", "1.4.1"
"1.1 - 5.5: approaching Athens", ".4.2", "1.4.2"
"1.1 - 5.5: approaching Athens", ".4.3", "1.4.3"
"1.1 - 5.5: approaching Athens", ".4.4", "1.4.4"
"1.1 - 5.5: approaching Athens", ".4.5", "1.4.5"
"1.1 - 5.5: approaching Athens", ".4.6", "1.4.6"
"1.1 - 5.5: approaching Athens", ".5.1", "1.5.1"
"1.1 - 5.5: approaching Athens", ".5.2", "1.5.2"
"1.1 - 5.5: approaching Athens", ".5.3", "1.5.3"
"1.1 - 5.5: approaching Athens", ".5.4", "1.5.4"
"1.1 - 5.5: approaching Athens", ".5.5", "1.5.5"
"6.1 - 14.7: Kerameikos", ".1.1", "1.6.1"
"6.1 - 14.7: Kerameikos", ".1.2", "1.6.2"
"6.1 - 14.7: Kerameikos", ".1.3", "1.6.3"
"6.1 - 14.7: Kerameikos", ".1.4", "1.6.4"
"6.1 - 14.7: Kerameikos", ".1.5", "1.6.5"
"6.1 - 14.7: Kerameikos", ".1.6", "1.6.6"
"6.1 - 14.7: Kerameikos", ".1.7", "1.6.7"
"6.1 - 14.7: Kerameikos", ".1.8", "1.6.8"
"6.1 - 14.7: Kerameikos", ".2.1", "1.7.1"
"6.1 - 14.7: Kerameikos", ".2.2", "1.7.2"
"6.1 - 14.7: Kerameikos", ".2.3", "1.7.3"
"6.1 - 14.7: Kerameikos", ".3.1", "1.8.1"
"6.1 - 14.7: Kerameikos", ".3.2", "1.8.2"
"6.1 - 14.7: Kerameikos", ".3.3", "1.8.3"
"6.1 - 14.7: Kerameikos", ".3.4", "1.8.4"
"6.1 - 14.7: Kerameikos", ".3.5", "1.8.5"
"6.1 - 14.7: Kerameikos", ".3.6", "1.8.6"
"6.1 - 14.7: Kerameikos", ".4.1", "1.9.1"
"6.1 - 14.7: Kerameikos", ".4.2", "1.9.2"
"6.1 - 14.7: Kerameikos", ".4.3", "1.9.3"
"6.1 - 14.7: Kerameikos", ".4.4", "1.9.4"
"6.1 - 14.7: Kerameikos", ".4.5", "1.9.5"
"6.1 - 14.7: Kerameikos", ".4.6", "1.9.6"
"6.1 - 14.7: Kerameikos", ".4.7", "1.9.7"
"6.1 - 14.7: Kerameikos", ".4.8", "1.9.8"
"6.1 - 14.7: Kerameikos", ".5.1", "1.10.1"
"6.1 - 14.7: Kerameikos", ".5.2", "1.10.2"
"6.1 - 14.7: Kerameikos", ".5.3", "1.10.3"
"6.1 - 14.7: Kerameikos", ".5.4", "1.10.4"
"6.1 - 14.7: Kerameikos", ".5.5", "1.10.5"
"6.1 - 14.7: Kerameikos", ".6.1", "1.11.1"
"6.1 - 14.7: Kerameikos", ".6.2", "1.11.2"
"6.1 - 14.7: Kerameikos", ".6.3", "1.11.3"
"6.1 - 14.7: Kerameikos", ".6.4", "1.11.4"
"6.1 - 14.7: Kerameikos", ".6.5", "1.11.5"
"6.1 - 14.7: Kerameikos", ".6.6", "1.11.6"
"6.1 - 14.7: Kerameikos", ".6.7", "1.11.7"
"6.1 - 14.7: Kerameikos", ".7.1", "1.12.1"
"6.1 - 14.7: Kerameikos", ".7.2", "1.12.2"
"6.1 - 14.7: Kerameikos", ".7.3", "1.12.3"
"6.1 - 14.7: Kerameikos", ".7.4", "1.12.4"
"6.1 - 14.7: Kerameikos", ".7.5", "1.12.5"
"6.1 - 14.7: Kerameikos", ".8.1", "1.13.1"
"6.1 - 14.7: Kerameikos", ".8.2", "1.13.2"
"6.1 - 14.7: Kerameikos", ".8.3", "1.13.3"
"6.1 - 14.7: Kerameikos", ".8.4", "1.13.4"
"6.1 - 14.7: Kerameikos", ".8.5", "1.13.5"
"6.1 - 14.7: Kerameikos", ".8.6", "1.13.6"
"6.1 - 14.7: Kerameikos", ".8.7", "1.13.7"
"6.1 - 14.7: Kerameikos", ".8.8", "1.13.8"
"6.1 - 14.7: Kerameikos", ".8.9", "1.13.9"
"6.1 - 14.7: Kerameikos", ".9.1", "1.14.1"
"6.1 - 14.7: Kerameikos", ".9.2", "1.14.2"
"6.1 - 14.7: Kerameikos", ".9.3", "1.14.3"
"6.1 - 14.7: Kerameikos", ".9.4", "1.14.4"
"6.1 - 14.7: Kerameikos", ".9.5", "1.14.5"
"6.1 - 14.7: Kerameikos", ".9.6", "1.14.6"
"6.1 - 14.7: Kerameikos", ".9.7", "1.14.7"
"15.1 - 21.7: Agora", ".1.1", "1.15.1"
"15.1 - 21.7: Agora", ".1.2", "1.15.2"
"15.1 - 21.7: Agora", ".1.3", "1.15.3"
"15.1 - 21.7: Agora", ".1.4", "1.15.4"
"15.1 - 21.7: Agora", ".2.1", "1.16.1"
"15.1 - 21.7: Agora", ".2.2", "1.16.2"
"15.1 - 21.7: Agora", ".2.3", "1.16.3"
"15.1 - 21.7: Agora", ".3.1", "1.17.1"
"15.1 - 21.7: Agora", ".3.2", "1.17.2"
"15.1 - 21.7: Agora", ".3.3", "1.17.3"
"15.1 - 21.7: Agora", ".3.4", "1.17.4"
"15.1 - 21.7: Agora", ".3.5", "1.17.5"
"15.1 - 21.7: Agora", ".3.6", "1.17.6"
"15.1 - 21.7: Agora", ".4.1", "1.18.1"
"15.1 - 21.7: Agora", ".4.2", "1.18.2"
"15.1 - 21.7: Agora", ".4.3", "1.18.3"
"15.1 - 21.7: Agora", ".4.4", "1.18.4"
"15.1 - 21.7: Agora", ".4.5", "1.18.5"
"15.1 - 21.7: Agora", ".4.6", "1.18.6"
"15.1 - 21.7: Agora", ".4.7", "1.18.7"
"15.1 - 21.7: Agora", ".4.8", "1.18.8"
"15.1 - 21.7: Agora", ".4.9", "1.18.9"
"15.1 - 21.7: Agora", ".5.1", "1.19.1"
"15.1 - 21.7: Agora", ".5.2", "1.19.2"
"15.1 - 21.7: Agora", ".5.3", "1.19.3"
"15.1 - 21.7: Agora", ".5.4", "1.19.4"
"15.1 - 21.7: Agora", ".5.5", "1.19.5"
"15.1 - 21.7: Agora", ".5.6", "1.19.6"
"15.1 - 21.7: Agora", ".6.1", "1.20.1"
"15.1 - 21.7: Agora", ".6.2", "1.20.2"
"15.1 - 21.7: Agora", ".6.3", "1.20.3"
"15.1 - 21.7: Agora", ".6.4", "1.20.4"
"15.1 - 21.7: Agora", ".6.5", "1.20.5"
"15.1 - 21.7: Agora", ".6.6", "1.20.6"
"15.1 - 21.7: Agora", ".6.7", "1.20.7"
"15.1 - 21.7: Agora", ".7.1", "1.21.1"
"15.1 - 21.7: Agora", ".7.2", "1.21.2"
"15.1 - 21.7: Agora", ".7.3", "1.21.3"
"15.1 - 21.7: Agora", ".7.4", "1.21.4"
"15.1 - 21.7: Agora", ".7.5", "1.21.5"
